tile_name,region,source_key,union_building_area_m2,union_building_coverage,feature_count,folder,shp
tile_000048,Beijing,tile_000051,68029.660,0.259513,783,D:\桌面\dac\512mdata\tile_000048,D:\桌面\dac\512mdata\tile_000048\tile_000048.shp
tile_000049,Beijing,tile_000052,78079.059,0.297848,1055,D:\桌面\dac\512mdata\tile_000049,D:\桌面\dac\512mdata\tile_000049\tile_000049.shp
tile_000050,Beijing,tile_000053,58280.294,0.222322,795,D:\桌面\dac\512mdata\tile_000050,D:\桌面\dac\512mdata\tile_000050\tile_000050.shp
tile_000051,Beijing,tile_000054,64414.423,0.245722,784,D:\桌面\dac\512mdata\tile_000051,D:\桌面\dac\512mdata\tile_000051\tile_000051.shp
tile_000052,Beijing,tile_000055,64095.223,0.244504,528,D:\桌面\dac\512mdata\tile_000052,D:\桌面\dac\512mdata\tile_000052\tile_000052.shp
tile_000053,Beijing,tile_000056,74539.397,0.284345,543,D:\桌面\dac\512mdata\tile_000053,D:\桌面\dac\512mdata\tile_000053\tile_000053.shp
tile_000054,Beijing,tile_000057,61644.927,0.235157,393,D:\桌面\dac\512mdata\tile_000054,D:\桌面\dac\512mdata\tile_000054\tile_000054.shp
tile_000055,Beijing,tile_000058,81662.902,0.311519,592,D:\桌面\dac\512mdata\tile_000055,D:\桌面\dac\512mdata\tile_000055\tile_000055.shp
tile_000056,Beijing,tile_000059,100192.741,0.382205,508,D:\桌面\dac\512mdata\tile_000056,D:\桌面\dac\512mdata\tile_000056\tile_000056.shp
tile_000057,Beijing,tile_000060,108591.997,0.414246,718,D:\桌面\dac\512mdata\tile_000057,D:\桌面\dac\512mdata\tile_000057\tile_000057.shp
tile_000058,Beijing,tile_000061,70694.164,0.269677,418,D:\桌面\dac\512mdata\tile_000058,D:\桌面\dac\512mdata\tile_000058\tile_000058.shp
tile_000059,Beijing,tile_000063,90348.744,0.344653,1000,D:\桌面\dac\512mdata\tile_000059,D:\桌面\dac\512mdata\tile_000059\tile_000059.shp
tile_000060,Beijing,tile_000064,56243.280,0.214551,221,D:\桌面\dac\512mdata\tile_000060,D:\桌面\dac\512mdata\tile_000060\tile_000060.shp
tile_000061,Beijing,tile_000065,82154.272,0.313394,1109,D:\桌面\dac\512mdata\tile_000061,D:\桌面\dac\512mdata\tile_000061\tile_000061.shp
tile_000062,Beijing,tile_000070,58456.282,0.222993,392,D:\桌面\dac\512mdata\tile_000062,D:\桌面\dac\512mdata\tile_000062\tile_000062.shp
tile_000063,Beijing,tile_000071,55799.105,0.212857,385,D:\桌面\dac\512mdata\tile_000063,D:\桌面\dac\512mdata\tile_000063\tile_000063.shp
tile_000064,Beijing,tile_000072,59242.688,0.225993,349,D:\桌面\dac\512mdata\tile_000064,D:\桌面\dac\512mdata\tile_000064\tile_000064.shp
tile_000065,Beijing,tile_000073,55759.261,0.212705,372,D:\桌面\dac\512mdata\tile_000065,D:\桌面\dac\512mdata\tile_000065\tile_000065.shp
tile_000066,Beijing,tile_000074,54607.668,0.208312,107,D:\桌面\dac\512mdata\tile_000066,D:\桌面\dac\512mdata\tile_000066\tile_000066.shp
tile_000067,Beijing,tile_000075,55733.181,0.212605,381,D:\桌面\dac\512mdata\tile_000067,D:\桌面\dac\512mdata\tile_000067\tile_000067.shp
tile_000068,Beijing,tile_000076,94663.394,0.361112,793,D:\桌面\dac\512mdata\tile_000068,D:\桌面\dac\512mdata\tile_000068\tile_000068.shp
tile_000069,Beijing,tile_000077,54059.785,0.206222,555,D:\桌面\dac\512mdata\tile_000069,D:\桌面\dac\512mdata\tile_000069\tile_000069.shp
tile_000070,Beijing,tile_000078,68285.035,0.260487,769,D:\桌面\dac\512mdata\tile_000070,D:\桌面\dac\512mdata\tile_000070\tile_000070.shp
tile_000071,Beijing,tile_000079,64841.654,0.247351,830,D:\桌面\dac\512mdata\tile_000071,D:\桌面\dac\512mdata\tile_000071\tile_000071.shp
tile_000072,Beijing,tile_000080,70567.894,0.269195,969,D:\桌面\dac\512mdata\tile_000072,D:\桌面\dac\512mdata\tile_000072\tile_000072.shp
tile_000073,Beijing,tile_000081,121054.085,0.461785,489,D:\桌面\dac\512mdata\tile_000073,D:\桌面\dac\512mdata\tile_000073\tile_000073.shp
tile_000074,Beijing,tile_000082,95528.356,0.364412,460,D:\桌面\dac\512mdata\tile_000074,D:\桌面\dac\512mdata\tile_000074\tile_000074.shp
tile_000075,Beijing,tile_000083,57531.874,0.219467,356,D:\桌面\dac\512mdata\tile_000075,D:\桌面\dac\512mdata\tile_000075\tile_000075.shp
tile_000076,Beijing,tile_000085,104620.535,0.399096,664,D:\桌面\dac\512mdata\tile_000076,D:\桌面\dac\512mdata\tile_000076\tile_000076.shp
tile_000077,Beijing,tile_000086,65951.934,0.251587,784,D:\桌面\dac\512mdata\tile_000077,D:\桌面\dac\512mdata\tile_000077\tile_000077.shp
tile_000078,Beijing,tile_000087,113412.379,0.432634,594,D:\桌面\dac\512mdata\tile_000078,D:\桌面\dac\512mdata\tile_000078\tile_000078.shp
tile_000079,Beijing,tile_000088,117924.956,0.449848,629,D:\桌面\dac\512mdata\tile_000079,D:\桌面\dac\512mdata\tile_000079\tile_000079.shp
tile_000080,Beijing,tile_000089,79540.651,0.303424,426,D:\桌面\dac\512mdata\tile_000080,D:\桌面\dac\512mdata\tile_000080\tile_000080.shp
tile_000081,Beijing,tile_000090,73261.163,0.279469,483,D:\桌面\dac\512mdata\tile_000081,D:\桌面\dac\512mdata\tile_000081\tile_000081.shp
tile_000082,Beijing,tile_000091,84556.191,0.322556,564,D:\桌面\dac\512mdata\tile_000082,D:\桌面\dac\512mdata\tile_000082\tile_000082.shp
tile_000083,Beijing,tile_000092,87992.691,0.335665,541,D:\桌面\dac\512mdata\tile_000083,D:\桌面\dac\512mdata\tile_000083\tile_000083.shp
tile_000084,Beijing,tile_000093,88143.917,0.336242,1152,D:\桌面\dac\512mdata\tile_000084,D:\桌面\dac\512mdata\tile_000084\tile_000084.shp
tile_000085,Beijing,tile_000095,69195.392,0.263959,724,D:\桌面\dac\512mdata\tile_000085,D:\桌面\dac\512mdata\tile_000085\tile_000085.shp
tile_000086,Beijing,tile_000096,63279.444,0.241392,186,D:\桌面\dac\512mdata\tile_000086,D:\桌面\dac\512mdata\tile_000086\tile_000086.shp
tile_000087,Beijing,tile_000097,72151.115,0.275235,868,D:\桌面\dac\512mdata\tile_000087,D:\桌面\dac\512mdata\tile_000087\tile_000087.shp
tile_000088,Beijing,tile_000098,69512.675,0.265170,969,D:\桌面\dac\512mdata\tile_000088,D:\桌面\dac\512mdata\tile_000088\tile_000088.shp
tile_000089,Beijing,tile_000099,77319.263,0.294950,1048,D:\桌面\dac\512mdata\tile_000089,D:\桌面\dac\512mdata\tile_000089\tile_000089.shp
tile_000090,Beijing,tile_000100,61912.997,0.236179,915,D:\桌面\dac\512mdata\tile_000090,D:\桌面\dac\512mdata\tile_000090\tile_000090.shp
tile_000091,Beijing,tile_000101,76197.131,0.290669,970,D:\桌面\dac\512mdata\tile_000091,D:\桌面\dac\512mdata\tile_000091\tile_000091.shp
tile_000092,Beijing,tile_000102,84060.667,0.320666,495,D:\桌面\dac\512mdata\tile_000092,D:\桌面\dac\512mdata\tile_000092\tile_000092.shp
tile_000093,Beijing,tile_000104,71055.837,0.271057,799,D:\桌面\dac\512mdata\tile_000093,D:\桌面\dac\512mdata\tile_000093\tile_000093.shp
tile_000094,Beijing,tile_000105,81990.310,0.312768,615,D:\桌面\dac\512mdata\tile_000094,D:\桌面\dac\512mdata\tile_000094\tile_000094.shp
tile_000095,Beijing,tile_000106,82530.787,0.314830,697,D:\桌面\dac\512mdata\tile_000095,D:\桌面\dac\512mdata\tile_000095\tile_000095.shp
tile_000096,Beijing,tile_000107,97191.903,0.370758,1080,D:\桌面\dac\512mdata\tile_000096,D:\桌面\dac\512mdata\tile_000096\tile_000096.shp
tile_000097,Beijing,tile_000108,52714.147,0.201089,186,D:\桌面\dac\512mdata\tile_000097,D:\桌面\dac\512mdata\tile_000097\tile_000097.shp
tile_000098,Beijing,tile_000109,52799.435,0.201414,118,D:\桌面\dac\512mdata\tile_000098,D:\桌面\dac\512mdata\tile_000098\tile_000098.shp
tile_000099,Beijing,tile_000110,53751.941,0.205047,563,D:\桌面\dac\512mdata\tile_000099,D:\桌面\dac\512mdata\tile_000099\tile_000099.shp
tile_000100,Beijing,tile_000111,68389.159,0.260884,742,D:\桌面\dac\512mdata\tile_000100,D:\桌面\dac\512mdata\tile_000100\tile_000100.shp
tile_000101,Beijing,tile_000112,57000.295,0.217439,702,D:\桌面\dac\512mdata\tile_000101,D:\桌面\dac\512mdata\tile_000101\tile_000101.shp
tile_000102,Beijing,tile_000113,79846.800,0.304591,706,D:\桌面\dac\512mdata\tile_000102,D:\桌面\dac\512mdata\tile_000102\tile_000102.shp
tile_000103,Beijing,tile_000114,57582.015,0.219658,649,D:\桌面\dac\512mdata\tile_000103,D:\桌面\dac\512mdata\tile_000103\tile_000103.shp
tile_000104,Beijing,tile_000117,55789.315,0.212819,347,D:\桌面\dac\512mdata\tile_000104,D:\桌面\dac\512mdata\tile_000104\tile_000104.shp
tile_000105,Beijing,tile_000118,108064.703,0.412234,665,D:\桌面\dac\512mdata\tile_000105,D:\桌面\dac\512mdata\tile_000105\tile_000105.shp
tile_000106,Beijing,tile_000119,60184.850,0.229587,350,D:\桌面\dac\512mdata\tile_000106,D:\桌面\dac\512mdata\tile_000106\tile_000106.shp
tile_000107,Beijing,tile_000120,95225.392,0.363256,687,D:\桌面\dac\512mdata\tile_000107,D:\桌面\dac\512mdata\tile_000107\tile_000107.shp
tile_000108,Beijing,tile_000121,81090.799,0.309337,619,D:\桌面\dac\512mdata\tile_000108,D:\桌面\dac\512mdata\tile_000108\tile_000108.shp
tile_000109,Beijing,tile_000122,56999.882,0.217437,292,D:\桌面\dac\512mdata\tile_000109,D:\桌面\dac\512mdata\tile_000109\tile_000109.shp
tile_000110,Beijing,tile_000123,58819.498,0.224379,599,D:\桌面\dac\512mdata\tile_000110,D:\桌面\dac\512mdata\tile_000110\tile_000110.shp
tile_000111,Beijing,tile_000124,54603.617,0.208296,347,D:\桌面\dac\512mdata\tile_000111,D:\桌面\dac\512mdata\tile_000111\tile_000111.shp
tile_000112,Beijing,tile_000125,55876.764,0.213153,674,D:\桌面\dac\512mdata\tile_000112,D:\桌面\dac\512mdata\tile_000112\tile_000112.shp
tile_000113,Beijing,tile_000126,72023.789,0.274749,549,D:\桌面\dac\512mdata\tile_000113,D:\桌面\dac\512mdata\tile_000113\tile_000113.shp
tile_000114,Beijing,tile_000127,57674.426,0.220010,156,D:\桌面\dac\512mdata\tile_000114,D:\桌面\dac\512mdata\tile_000114\tile_000114.shp
tile_000115,Beijing,tile_000128,79116.246,0.301805,553,D:\桌面\dac\512mdata\tile_000115,D:\桌面\dac\512mdata\tile_000115\tile_000115.shp
tile_000116,Beijing,tile_000129,67627.752,0.257979,532,D:\桌面\dac\512mdata\tile_000116,D:\桌面\dac\512mdata\tile_000116\tile_000116.shp
tile_000117,Beijing,tile_000132,59867.221,0.228375,400,D:\桌面\dac\512mdata\tile_000117,D:\桌面\dac\512mdata\tile_000117\tile_000117.shp
tile_000118,Beijing,tile_000133,67202.311,0.256356,397,D:\桌面\dac\512mdata\tile_000118,D:\桌面\dac\512mdata\tile_000118\tile_000118.shp
tile_000119,Beijing,tile_000134,75352.903,0.287449,799,D:\桌面\dac\512mdata\tile_000119,D:\桌面\dac\512mdata\tile_000119\tile_000119.shp
tile_000120,Beijing,tile_000135,69613.188,0.265553,397,D:\桌面\dac\512mdata\tile_000120,D:\桌面\dac\512mdata\tile_000120\tile_000120.shp
tile_000121,Beijing,tile_000136,73865.980,0.281776,153,D:\桌面\dac\512mdata\tile_000121,D:\桌面\dac\512mdata\tile_000121\tile_000121.shp
tile_000122,Beijing,tile_000137,60057.334,0.229101,568,D:\桌面\dac\512mdata\tile_000122,D:\桌面\dac\512mdata\tile_000122\tile_000122.shp
tile_000123,Beijing,tile_000138,70012.310,0.267076,719,D:\桌面\dac\512mdata\tile_000123,D:\桌面\dac\512mdata\tile_000123\tile_000123.shp
tile_000124,Beijing,tile_000139,75853.557,0.289358,481,D:\桌面\dac\512mdata\tile_000124,D:\桌面\dac\512mdata\tile_000124\tile_000124.shp
tile_000125,Beijing,tile_000140,94446.203,0.360284,833,D:\桌面\dac\512mdata\tile_000125,D:\桌面\dac\512mdata\tile_000125\tile_000125.shp
tile_000126,Beijing,tile_000141,79333.621,0.302634,511,D:\桌面\dac\512mdata\tile_000126,D:\桌面\dac\512mdata\tile_000126\tile_000126.shp
tile_000127,Beijing,tile_000142,71472.262,0.272645,633,D:\桌面\dac\512mdata\tile_000127,D:\桌面\dac\512mdata\tile_000127\tile_000127.shp
tile_000128,Beijing,tile_000143,69759.295,0.266111,168,D:\桌面\dac\512mdata\tile_000128,D:\桌面\dac\512mdata\tile_000128\tile_000128.shp
tile_000129,Beijing,tile_000144,56866.077,0.216927,191,D:\桌面\dac\512mdata\tile_000129,D:\桌面\dac\512mdata\tile_000129\tile_000129.shp
tile_000130,Beijing,tile_000145,76982.558,0.293665,1043,D:\桌面\dac\512mdata\tile_000130,D:\桌面\dac\512mdata\tile_000130\tile_000130.shp
tile_000131,Beijing,tile_000148,78689.131,0.300175,504,D:\桌面\dac\512mdata\tile_000131,D:\桌面\dac\512mdata\tile_000131\tile_000131.shp
tile_000132,Beijing,tile_000149,64320.199,0.245362,177,D:\桌面\dac\512mdata\tile_000132,D:\桌面\dac\512mdata\tile_000132\tile_000132.shp
tile_000133,Beijing,tile_000150,71959.655,0.274504,13,D:\桌面\dac\512mdata\tile_000133,D:\桌面\dac\512mdata\tile_000133\tile_000133.shp
tile_000134,Beijing,tile_000151,92377.517,0.352392,646,D:\桌面\dac\512mdata\tile_000134,D:\桌面\dac\512mdata\tile_000134\tile_000134.shp
tile_000135,Beijing,tile_000152,65724.532,0.250719,141,D:\桌面\dac\512mdata\tile_000135,D:\桌面\dac\512mdata\tile_000135\tile_000135.shp
tile_000136,Beijing,tile_000153,80933.275,0.308736,653,D:\桌面\dac\512mdata\tile_000136,D:\桌面\dac\512mdata\tile_000136\tile_000136.shp
tile_000137,Beijing,tile_000154,58909.397,0.224722,267,D:\桌面\dac\512mdata\tile_000137,D:\桌面\dac\512mdata\tile_000137\tile_000137.shp
tile_000138,Beijing,tile_000155,73478.112,0.280297,487,D:\桌面\dac\512mdata\tile_000138,D:\桌面\dac\512mdata\tile_000138\tile_000138.shp
tile_000139,Beijing,tile_000157,59120.320,0.225526,305,D:\桌面\dac\512mdata\tile_000139,D:\桌面\dac\512mdata\tile_000139\tile_000139.shp
tile_000140,Beijing,tile_000158,109384.738,0.417270,728,D:\桌面\dac\512mdata\tile_000140,D:\桌面\dac\512mdata\tile_000140\tile_000140.shp
tile_000141,Beijing,tile_000159,85501.941,0.326164,635,D:\桌面\dac\512mdata\tile_000141,D:\桌面\dac\512mdata\tile_000141\tile_000141.shp
tile_000142,Beijing,tile_000161,57064.785,0.217685,417,D:\桌面\dac\512mdata\tile_000142,D:\桌面\dac\512mdata\tile_000142\tile_000142.shp
tile_000143,Beijing,tile_000162,82082.688,0.313121,739,D:\桌面\dac\512mdata\tile_000143,D:\桌面\dac\512mdata\tile_000143\tile_000143.shp
tile_000144,Beijing,tile_000163,75738.473,0.288919,481,D:\桌面\dac\512mdata\tile_000144,D:\桌面\dac\512mdata\tile_000144\tile_000144.shp
tile_000145,Beijing,tile_000164,97657.575,0.372534,894,D:\桌面\dac\512mdata\tile_000145,D:\桌面\dac\512mdata\tile_000145\tile_000145.shp
tile_000146,Beijing,tile_000165,67912.043,0.259064,232,D:\桌面\dac\512mdata\tile_000146,D:\桌面\dac\512mdata\tile_000146\tile_000146.shp
tile_000147,Beijing,tile_000166,77877.584,0.297079,830,D:\桌面\dac\512mdata\tile_000147,D:\桌面\dac\512mdata\tile_000147\tile_000147.shp
tile_000148,Beijing,tile_000167,114638.195,0.437310,1372,D:\桌面\dac\512mdata\tile_000148,D:\桌面\dac\512mdata\tile_000148\tile_000148.shp
tile_000149,Beijing,tile_000168,54010.185,0.206033,454,D:\桌面\dac\512mdata\tile_000149,D:\桌面\dac\512mdata\tile_000149\tile_000149.shp
tile_000150,Beijing,tile_000169,80406.772,0.306727,550,D:\桌面\dac\512mdata\tile_000150,D:\桌面\dac\512mdata\tile_000150\tile_000150.shp
tile_000151,Beijing,tile_000171,83809.100,0.319706,513,D:\桌面\dac\512mdata\tile_000151,D:\桌面\dac\512mdata\tile_000151\tile_000151.shp
tile_000152,Beijing,tile_000173,70168.635,0.267672,454,D:\桌面\dac\512mdata\tile_000152,D:\桌面\dac\512mdata\tile_000152\tile_000152.shp
tile_000153,Beijing,tile_000174,61275.532,0.233748,207,D:\桌面\dac\512mdata\tile_000153,D:\桌面\dac\512mdata\tile_000153\tile_000153.shp
tile_000154,Beijing,tile_000175,64204.230,0.244920,298,D:\桌面\dac\512mdata\tile_000154,D:\桌面\dac\512mdata\tile_000154\tile_000154.shp
tile_000155,Beijing,tile_000177,64637.161,0.246571,8,D:\桌面\dac\512mdata\tile_000155,D:\桌面\dac\512mdata\tile_000155\tile_000155.shp
tile_000156,Beijing,tile_000178,53993.000,0.205967,425,D:\桌面\dac\512mdata\tile_000156,D:\桌面\dac\512mdata\tile_000156\tile_000156.shp
tile_000157,Beijing,tile_000179,75222.671,0.286952,411,D:\桌面\dac\512mdata\tile_000157,D:\桌面\dac\512mdata\tile_000157\tile_000157.shp
tile_000158,Beijing,tile_000180,76493.112,0.291798,157,D:\桌面\dac\512mdata\tile_000158,D:\桌面\dac\512mdata\tile_000158\tile_000158.shp
tile_000159,Beijing,tile_000181,102570.438,0.391275,270,D:\桌面\dac\512mdata\tile_000159,D:\桌面\dac\512mdata\tile_000159\tile_000159.shp
tile_000160,Beijing,tile_000182,91016.223,0.347199,717,D:\桌面\dac\512mdata\tile_000160,D:\桌面\dac\512mdata\tile_000160\tile_000160.shp
tile_000161,Beijing,tile_000183,100083.409,0.381788,203,D:\桌面\dac\512mdata\tile_000161,D:\桌面\dac\512mdata\tile_000161\tile_000161.shp
tile_000162,Beijing,tile_000184,68312.999,0.260593,221,D:\桌面\dac\512mdata\tile_000162,D:\桌面\dac\512mdata\tile_000162\tile_000162.shp
tile_000163,Beijing,tile_000185,87351.377,0.333219,190,D:\桌面\dac\512mdata\tile_000163,D:\桌面\dac\512mdata\tile_000163\tile_000163.shp
tile_000164,Beijing,tile_000186,67824.734,0.258731,542,D:\桌面\dac\512mdata\tile_000164,D:\桌面\dac\512mdata\tile_000164\tile_000164.shp
tile_000165,Beijing,tile_000189,58176.316,0.221925,364,D:\桌面\dac\512mdata\tile_000165,D:\桌面\dac\512mdata\tile_000165\tile_000165.shp
tile_000166,Beijing,tile_000190,55859.717,0.213088,434,D:\桌面\dac\512mdata\tile_000166,D:\桌面\dac\512mdata\tile_000166\tile_000166.shp
tile_000167,Beijing,tile_000191,65201.240,0.248723,507,D:\桌面\dac\512mdata\tile_000167,D:\桌面\dac\512mdata\tile_000167\tile_000167.shp
tile_000168,Beijing,tile_000192,66450.278,0.253488,498,D:\桌面\dac\512mdata\tile_000168,D:\桌面\dac\512mdata\tile_000168\tile_000168.shp
tile_000169,Beijing,tile_000193,115122.844,0.439159,897,D:\桌面\dac\512mdata\tile_000169,D:\桌面\dac\512mdata\tile_000169\tile_000169.shp
tile_000170,Beijing,tile_000194,86791.117,0.331082,735,D:\桌面\dac\512mdata\tile_000170,D:\桌面\dac\512mdata\tile_000170\tile_000170.shp
tile_000171,Beijing,tile_000195,68728.793,0.262180,778,D:\桌面\dac\512mdata\tile_000171,D:\桌面\dac\512mdata\tile_000171\tile_000171.shp
tile_000172,Beijing,tile_000196,77196.120,0.294480,1067,D:\桌面\dac\512mdata\tile_000172,D:\桌面\dac\512mdata\tile_000172\tile_000172.shp
tile_000173,Beijing,tile_000197,78874.725,0.300883,687,D:\桌面\dac\512mdata\tile_000173,D:\桌面\dac\512mdata\tile_000173\tile_000173.shp
