site_id,tile,tile_number,split,split_index,site_index,quadrant,tx_x_m,tx_y_m,tx_row_px,tx_col_px,tx_height_m,effective_power_db,azimuth_0_deg,azimuth_1_deg,azimuth_2_deg,azimuth_3_deg,sample_path
tile_000005_site03,tile_000005,5,train,3,3,radius_192_271m,411.068050282,89.707651372,105.073087157,102.267012571,26.000000,52.374123804,87,286,293,332,D:\桌面\dac\bs_inversion_scale4_v1\samples\train\tile_000005_site03.npz
tile_000006_site00,tile_000006,6,train,4,0,radius_000_064m,295.543770631,274.172236656,58.956940836,73.385942658,26.000000,48.477542777,6,57,290,306,D:\桌面\dac\bs_inversion_scale4_v1\samples\train\tile_000006_site00.npz
tile_000006_site01,tile_000006,6,train,4,1,radius_064_128m,129.607436558,238.085267922,67.978683020,31.901859140,26.000000,41.797408849,29,58,87,110,D:\桌面\dac\bs_inversion_scale4_v1\samples\train\tile_000006_site01.npz
tile_000006_site02,tile_000006,6,train,4,2,radius_128_192m,221.739291232,87.366819264,105.658295184,54.934822808,26.000000,51.260214603,104,143,175,310,D:\桌面\dac\bs_inversion_scale4_v1\samples\train\tile_000006_site02.npz
tile_000006_site03,tile_000006,6,train,4,3,radius_192_271m,444.291371267,198.616677087,77.845830728,110.572842817,26.000000,55.106756363,1,272,278,359,D:\桌面\dac\bs_inversion_scale4_v1\samples\train\tile_000006_site03.npz
tile_000007_site00,tile_000007,7,train,5,0,radius_000_064m,280.901311341,207.371025776,75.657243556,69.725327835,26.000000,37.246505947,20,122,222,327,D:\桌面\dac\bs_inversion_scale4_v1\samples\train\tile_000007_site00.npz
tile_000007_site01,tile_000007,7,train,5,1,radius_064_128m,248.289387162,363.724630345,36.568842414,61.572346790,26.000000,64.099480360,80,181,191,346,D:\桌面\dac\bs_inversion_scale4_v1\samples\train\tile_000007_site01.npz
tile_000007_site02,tile_000007,7,train,5,2,radius_128_192m,96.781657927,291.438962000,54.640259500,23.695414482,26.000000,65.611500478,106,130,193,344,D:\桌面\dac\bs_inversion_scale4_v1\samples\train\tile_000007_site02.npz
tile_000007_site03,tile_000007,7,train,5,3,radius_192_271m,395.638596406,404.862831372,26.284292157,98.409649102,26.000000,41.652319445,7,87,143,144,D:\桌面\dac\bs_inversion_scale4_v1\samples\train\tile_000007_site03.npz
tile_000008_site00,tile_000008,8,train,6,0,radius_000_064m,284.180596879,205.234328896,76.191417776,70.545149220,47.000000,51.969751768,43,150,244,306,D:\桌面\dac\bs_inversion_scale4_v1\samples\train\tile_000008_site00.npz
tile_000008_site01,tile_000008,8,train,6,1,radius_064_128m,181.072464857,346.406987266,40.898253184,44.768116214,47.000000,49.006247736,48,55,183,220,D:\桌面\dac\bs_inversion_scale4_v1\samples\train\tile_000008_site01.npz
tile_000008_site02,tile_000008,8,train,6,2,radius_128_192m,326.932822659,413.270617861,24.182345535,81.233205665,47.000000,44.313900474,2,88,158,257,D:\桌面\dac\bs_inversion_scale4_v1\samples\train\tile_000008_site02.npz
tile_000008_site03,tile_000008,8,train,6,3,radius_192_271m,82.704712713,72.568178977,109.357955256,20.176178178,47.000000,53.915235977,190,321,338,354,D:\桌面\dac\bs_inversion_scale4_v1\samples\train\tile_000008_site03.npz
tile_000012_site00,tile_000012,12,train,7,0,radius_000_064m,222.437512180,283.267268767,56.683182808,55.109378045,32.000000,40.418526219,34,314,316,342,D:\桌面\dac\bs_inversion_scale4_v1\samples\train\tile_000012_site00.npz
tile_000012_site01,tile_000012,12,train,7,1,radius_064_128m,204.257770986,349.176177439,40.205955640,50.564442747,32.000000,48.007777190,91,128,180,283,D:\桌面\dac\bs_inversion_scale4_v1\samples\train\tile_000012_site01.npz
tile_000012_site02,tile_000012,12,train,7,2,radius_128_192m,241.175412103,444.071978665,16.482005334,59.793853026,32.000000,52.636839974,116,171,258,337,D:\桌面\dac\bs_inversion_scale4_v1\samples\train\tile_000012_site02.npz
tile_000012_site03,tile_000012,12,train,7,3,radius_192_271m,116.545389827,436.170252939,18.457436765,28.636347457,32.000000,51.405453212,58,236,287,317,D:\桌面\dac\bs_inversion_scale4_v1\samples\train\tile_000012_site03.npz
tile_000013_site00,tile_000013,13,train,8,0,radius_000_064m,236.610804575,269.105165164,60.223708709,58.652701144,26.000000,57.360038904,226,245,268,301,D:\桌面\dac\bs_inversion_scale4_v1\samples\train\tile_000013_site00.npz
tile_000013_site01,tile_000013,13,train,8,1,radius_064_128m,235.512995405,190.280420982,79.929894755,58.378248851,26.000000,66.179730877,7,99,102,145,D:\桌面\dac\bs_inversion_scale4_v1\samples\train\tile_000013_site01.npz
tile_000013_site02,tile_000013,13,train,8,2,radius_128_192m,88.248817197,319.871324429,47.532168893,21.562204299,26.000000,59.809437941,185,191,286,288,D:\桌面\dac\bs_inversion_scale4_v1\samples\train\tile_000013_site02.npz
tile_000013_site03,tile_000013,13,train,8,3,radius_192_271m,447.527226632,201.830748902,77.042312774,111.381806658,26.000000,65.005493352,0,2,71,274,D:\桌面\dac\bs_inversion_scale4_v1\samples\train\tile_000013_site03.npz
tile_000015_site00,tile_000015,15,train,9,0,radius_000_064m,280.388811917,300.802761104,52.299309724,69.597202979,26.000000,51.639339818,6,306,333,342,D:\桌面\dac\bs_inversion_scale4_v1\samples\train\tile_000015_site00.npz
tile_000015_site01,tile_000015,15,train,9,1,radius_064_128m,325.588849726,357.936442993,38.015889252,80.897212432,26.000000,57.152605384,189,222,233,247,D:\桌面\dac\bs_inversion_scale4_v1\samples\train\tile_000015_site01.npz
tile_000015_site02,tile_000015,15,train,9,2,radius_128_192m,211.751661268,396.803565304,28.299108674,52.437915317,26.000000,43.081018993,195,223,247,250,D:\桌面\dac\bs_inversion_scale4_v1\samples\train\tile_000015_site02.npz
tile_000015_site03,tile_000015,15,train,9,3,radius_192_271m,398.088375213,426.839830626,20.790042344,99.022093803,26.000000,39.545950428,13,25,139,289,D:\桌面\dac\bs_inversion_scale4_v1\samples\train\tile_000015_site03.npz
tile_000016_site00,tile_000016,16,train,10,0,radius_000_064m,245.849042981,303.371195728,51.657201068,60.962260745,32.000000,67.154092640,80,111,152,312,D:\桌面\dac\bs_inversion_scale4_v1\samples\train\tile_000016_site00.npz
tile_000016_site01,tile_000016,16,train,10,1,radius_064_128m,296.782704629,198.858045179,77.785488705,73.695676157,32.000000,36.928368041,60,147,157,313,D:\桌面\dac\bs_inversion_scale4_v1\samples\train\tile_000016_site01.npz
tile_000016_site02,tile_000016,16,train,10,2,radius_128_192m,362.055861856,379.894083595,32.526479101,90.013965464,32.000000,64.483149805,7,75,128,222,D:\桌面\dac\bs_inversion_scale4_v1\samples\train\tile_000016_site02.npz
tile_000016_site03,tile_000016,16,train,10,3,radius_192_271m,91.488507380,413.916840695,24.020789826,22.372126845,32.000000,41.722861130,11,89,224,288,D:\桌面\dac\bs_inversion_scale4_v1\samples\train\tile_000016_site03.npz
tile_000017_site00,tile_000017,17,train,11,0,radius_000_064m,233.270561541,228.614586902,70.346353275,57.817640385,26.000000,61.817013487,44,100,102,264,D:\桌面\dac\bs_inversion_scale4_v1\samples\train\tile_000017_site00.npz
tile_000017_site01,tile_000017,17,train,11,1,radius_064_128m,155.878740910,224.811392817,71.297151796,38.469685228,26.000000,50.529736527,149,157,179,334,D:\桌面\dac\bs_inversion_scale4_v1\samples\train\tile_000017_site01.npz
tile_000017_site02,tile_000017,17,train,11,2,radius_128_192m,329.294968262,426.286543687,20.928364078,81.823742066,26.000000,50.500368006,57,164,254,327,D:\桌面\dac\bs_inversion_scale4_v1\samples\train\tile_000017_site02.npz
tile_000017_site03,tile_000017,17,train,11,3,radius_192_271m,122.182233232,74.687737776,108.828065556,30.045558308,26.000000,50.385994823,27,127,205,279,D:\桌面\dac\bs_inversion_scale4_v1\samples\train\tile_000017_site03.npz
tile_000018_site00,tile_000018,18,train,12,0,radius_000_064m,293.853959275,262.055658675,61.986085331,72.963489819,26.000000,36.492956525,13,139,149,220,D:\桌面\dac\bs_inversion_scale4_v1\samples\train\tile_000018_site00.npz
tile_000018_site01,tile_000018,18,train,12,1,radius_064_128m,270.185344211,371.835912836,34.541021791,67.046336053,26.000000,44.802691278,56,112,304,343,D:\桌面\dac\bs_inversion_scale4_v1\samples\train\tile_000018_site01.npz
tile_000018_site02,tile_000018,18,train,12,2,radius_128_192m,122.091160575,328.085685237,45.478578691,30.022790144,26.000000,39.506905541,16,242,290,357,D:\桌面\dac\bs_inversion_scale4_v1\samples\train\tile_000018_site02.npz
tile_000018_site03,tile_000018,18,train,12,3,radius_192_271m,151.692693285,442.221549348,16.944612663,37.423173321,26.000000,42.545391404,10,62,88,159,D:\桌面\dac\bs_inversion_scale4_v1\samples\train\tile_000018_site03.npz
tile_000019_site00,tile_000019,19,train,13,0,radius_000_064m,228.800762602,307.595564079,50.601108980,56.700190650,23.000000,65.743589903,28,35,97,232,D:\桌面\dac\bs_inversion_scale4_v1\samples\train\tile_000019_site00.npz
tile_000019_site01,tile_000019,19,train,13,1,radius_064_128m,296.934723338,355.827537664,38.543115584,73.733680834,23.000000,37.083622910,45,87,144,247,D:\桌面\dac\bs_inversion_scale4_v1\samples\train\tile_000019_site01.npz
tile_000019_site02,tile_000019,19,train,13,2,radius_128_192m,312.454502595,110.119646252,99.970088437,77.613625649,23.000000,65.985997314,10,17,61,190,D:\桌面\dac\bs_inversion_scale4_v1\samples\train\tile_000019_site02.npz
tile_000019_site03,tile_000019,19,train,13,3,radius_192_271m,420.364255082,82.785904645,106.803523839,104.591063771,23.000000,68.537145292,125,196,231,238,D:\桌面\dac\bs_inversion_scale4_v1\samples\train\tile_000019_site03.npz
tile_000020_site00,tile_000020,20,train,14,0,radius_000_064m,239.824850257,291.547304718,54.613173821,59.456212564,38.000000,40.643427073,67,110,132,312,D:\桌面\dac\bs_inversion_scale4_v1\samples\train\tile_000020_site00.npz
tile_000020_site01,tile_000020,20,train,14,1,radius_064_128m,187.254688868,209.394611866,75.151347034,46.313672217,38.000000,45.441982824,31,178,301,316,D:\桌面\dac\bs_inversion_scale4_v1\samples\train\tile_000020_site01.npz
tile_000020_site02,tile_000020,20,train,14,2,radius_128_192m,399.747473450,216.690973279,73.327256680,99.436868363,38.000000,60.115825996,30,230,298,335,D:\桌面\dac\bs_inversion_scale4_v1\samples\train\tile_000020_site02.npz
tile_000020_site03,tile_000020,20,train,14,3,radius_192_271m,106.580458367,72.991550651,109.252112337,26.145114592,38.000000,52.438561202,78,88,123,175,D:\桌面\dac\bs_inversion_scale4_v1\samples\train\tile_000020_site03.npz
tile_000023_site00,tile_000023,23,train,15,0,radius_000_064m,266.922040223,240.703868664,67.324032834,66.230510056,29.000000,36.017552323,15,41,92,123,D:\桌面\dac\bs_inversion_scale4_v1\samples\train\tile_000023_site00.npz
tile_000023_site01,tile_000023,23,train,15,1,radius_064_128m,227.883147153,325.075662092,46.231084477,56.470786788,29.000000,59.656855538,35,265,269,327,D:\桌面\dac\bs_inversion_scale4_v1\samples\train\tile_000023_site01.npz
tile_000023_site02,tile_000023,23,train,15,2,radius_128_192m,416.847875705,158.315262201,87.921184450,103.711968926,29.000000,41.713076876,93,103,104,200,D:\桌面\dac\bs_inversion_scale4_v1\samples\train\tile_000023_site02.npz
tile_000023_site03,tile_000023,23,train,15,3,radius_192_271m,425.778967080,432.232636925,19.441840769,105.944741770,29.000000,51.728925677,45,212,296,308,D:\桌面\dac\bs_inversion_scale4_v1\samples\train\tile_000023_site03.npz
tile_000024_site00,tile_000024,24,train,16,0,radius_000_064m,204.969873752,258.244482954,62.938879261,50.742468438,26.000000,46.603150891,28,46,152,302,D:\桌面\dac\bs_inversion_scale4_v1\samples\train\tile_000024_site00.npz
tile_000024_site01,tile_000024,24,train,16,1,radius_064_128m,299.658783872,206.353245323,75.911688669,74.414695968,26.000000,49.441174655,170,177,274,310,D:\桌面\dac\bs_inversion_scale4_v1\samples\train\tile_000024_site01.npz
tile_000024_site02,tile_000024,24,train,16,2,radius_128_192m,362.333147970,401.323492441,27.169126890,90.083286992,26.000000,62.087416383,47,127,222,326,D:\桌面\dac\bs_inversion_scale4_v1\samples\train\tile_000024_site02.npz
tile_000024_site03,tile_000024,24,train,16,3,radius_192_271m,408.575380652,67.702173624,110.574456594,101.643845163,26.000000,52.247289810,17,218,221,309,D:\桌面\dac\bs_inversion_scale4_v1\samples\train\tile_000024_site03.npz
tile_000025_site00,tile_000025,25,train,17,0,radius_000_064m,196.332392336,237.960425841,68.009893540,48.583098084,29.000000,42.285149901,40,271,277,331,D:\桌面\dac\bs_inversion_scale4_v1\samples\train\tile_000025_site00.npz
tile_000025_site01,tile_000025,25,train,17,1,radius_064_128m,248.358882330,156.748357505,88.312910624,61.589720582,29.000000,68.951242321,65,97,99,285,D:\桌面\dac\bs_inversion_scale4_v1\samples\train\tile_000025_site01.npz
tile_000025_site02,tile_000025,25,train,17,2,radius_128_192m,101.630637500,164.735842890,86.316039278,24.907659375,29.000000,43.718241088,10,62,142,203,D:\桌面\dac\bs_inversion_scale4_v1\samples\train\tile_000025_site02.npz
tile_000025_site03,tile_000025,25,train,17,3,radius_192_271m,113.933724498,429.517992042,20.120501989,27.983431125,29.000000,39.132066393,128,223,340,358,D:\桌面\dac\bs_inversion_scale4_v1\samples\train\tile_000025_site03.npz
tile_000026_site00,tile_000026,26,train,18,0,radius_000_064m,204.589107659,267.297563068,60.675609233,50.647276915,68.000000,57.830540075,52,65,255,270,D:\桌面\dac\bs_inversion_scale4_v1\samples\train\tile_000026_site00.npz
tile_000026_site01,tile_000026,26,train,18,1,radius_064_128m,355.981930674,309.985783365,50.003554159,88.495482669,68.000000,43.344998998,46,107,119,238,D:\桌面\dac\bs_inversion_scale4_v1\samples\train\tile_000026_site01.npz
tile_000026_site02,tile_000026,26,train,18,2,radius_128_192m,142.286800925,405.540830622,26.114792344,35.071700231,68.000000,43.082162407,45,66,251,272,D:\桌面\dac\bs_inversion_scale4_v1\samples\train\tile_000026_site02.npz
tile_000026_site03,tile_000026,26,train,18,3,radius_192_271m,390.444621287,65.089517407,111.227620648,97.111155322,68.000000,45.806667530,60,61,180,263,D:\桌面\dac\bs_inversion_scale4_v1\samples\train\tile_000026_site03.npz
tile_000027_site00,tile_000027,27,train,19,0,radius_000_064m,272.273076990,266.834905844,60.791273539,67.568269247,26.000000,59.502312439,51,179,194,217,D:\桌面\dac\bs_inversion_scale4_v1\samples\train\tile_000027_site00.npz
tile_000027_site01,tile_000027,27,train,19,1,radius_064_128m,158.533985020,269.627720059,60.093069985,39.133496255,26.000000,44.298953411,140,150,322,324,D:\桌面\dac\bs_inversion_scale4_v1\samples\train\tile_000027_site01.npz
tile_000027_site02,tile_000027,27,train,19,2,radius_128_192m,331.526409101,399.088802957,27.727799261,82.381602275,26.000000,60.470459666,58,305,313,329,D:\桌面\dac\bs_inversion_scale4_v1\samples\train\tile_000027_site02.npz
tile_000027_site03,tile_000027,27,train,19,3,radius_192_271m,418.945207839,437.920754104,18.019811474,104.236301960,26.000000,38.979819414,93,185,330,347,D:\桌面\dac\bs_inversion_scale4_v1\samples\train\tile_000027_site03.npz
tile_000028_site00,tile_000028,28,train,20,0,radius_000_064m,208.420037965,265.584537297,61.103865676,51.605009491,23.000000,46.814226379,47,120,171,247,D:\桌面\dac\bs_inversion_scale4_v1\samples\train\tile_000028_site00.npz
tile_000028_site01,tile_000028,28,train,20,1,radius_064_128m,191.916502486,171.222533923,84.694366519,47.479125621,23.000000,50.011357494,99,109,127,280,D:\桌面\dac\bs_inversion_scale4_v1\samples\train\tile_000028_site01.npz
tile_000028_site02,tile_000028,28,train,20,2,radius_128_192m,413.406466893,316.330905414,48.417273646,102.851616723,23.000000,68.494255529,22,144,200,298,D:\桌面\dac\bs_inversion_scale4_v1\samples\train\tile_000028_site02.npz
tile_000028_site03,tile_000028,28,train,20,3,radius_192_271m,399.626612249,398.550896644,27.862275839,99.406653062,23.000000,37.869201035,26,78,193,346,D:\桌面\dac\bs_inversion_scale4_v1\samples\train\tile_000028_site03.npz
tile_000029_site00,tile_000029,29,train,21,0,radius_000_064m,236.506088468,243.362982773,66.659254307,58.626522117,26.000000,69.604597748,50,53,173,250,D:\桌面\dac\bs_inversion_scale4_v1\samples\train\tile_000029_site00.npz
tile_000029_site01,tile_000029,29,train,21,1,radius_064_128m,319.120835202,344.882615183,41.279346204,79.280208800,26.000000,40.126640759,97,113,257,305,D:\桌面\dac\bs_inversion_scale4_v1\samples\train\tile_000029_site01.npz
tile_000029_site02,tile_000029,29,train,21,2,radius_128_192m,156.980310832,378.072277045,32.981930739,38.745077708,26.000000,48.707574199,162,192,207,288,D:\桌面\dac\bs_inversion_scale4_v1\samples\train\tile_000029_site02.npz
tile_000029_site03,tile_000029,29,train,21,3,radius_192_271m,361.780633632,88.597770922,105.350557269,89.945158408,26.000000,36.252030045,42,82,133,308,D:\桌面\dac\bs_inversion_scale4_v1\samples\train\tile_000029_site03.npz
tile_000030_site00,tile_000030,30,train,22,0,radius_000_064m,246.325800629,193.079321085,79.230169729,61.081450157,68.000000,61.000506007,108,302,324,351,D:\桌面\dac\bs_inversion_scale4_v1\samples\train\tile_000030_site00.npz
tile_000030_site01,tile_000030,30,train,22,1,radius_064_128m,304.264928980,313.697097958,49.075725510,75.566232245,68.000000,41.493604122,43,160,221,258,D:\桌面\dac\bs_inversion_scale4_v1\samples\train\tile_000030_site01.npz
tile_000030_site02,tile_000030,30,train,22,2,radius_128_192m,110.021853979,341.858831529,42.035292118,27.005463495,68.000000,55.547889663,64,141,298,332,D:\桌面\dac\bs_inversion_scale4_v1\samples\train\tile_000030_site02.npz
tile_000030_site03,tile_000030,30,train,22,3,radius_192_271m,364.379005736,77.031432207,108.242141948,90.594751434,68.000000,68.309791165,121,283,292,310,D:\桌面\dac\bs_inversion_scale4_v1\samples\train\tile_000030_site03.npz
tile_000031_site00,tile_000031,31,train,23,0,radius_000_064m,253.720599793,272.861915441,59.284521140,62.930149948,26.000000,65.531192469,194,298,307,308,D:\桌面\dac\bs_inversion_scale4_v1\samples\train\tile_000031_site00.npz
tile_000031_site01,tile_000031,31,train,23,1,radius_064_128m,352.402747924,264.320292218,61.419926946,87.600686981,26.000000,65.762036073,28,56,142,182,D:\桌面\dac\bs_inversion_scale4_v1\samples\train\tile_000031_site01.npz
tile_000031_site02,tile_000031,31,train,23,2,radius_128_192m,279.600713730,413.042271883,24.239432029,69.400178433,26.000000,43.131215983,14,15,50,61,D:\桌面\dac\bs_inversion_scale4_v1\samples\train\tile_000031_site02.npz
tile_000031_site03,tile_000031,31,train,23,3,radius_192_271m,73.479260667,353.986078264,39.003480434,17.869815167,26.000000,42.943469723,84,87,129,312,D:\桌面\dac\bs_inversion_scale4_v1\samples\train\tile_000031_site03.npz
tile_000032_site00,tile_000032,32,train,24,0,radius_000_064m,304.861012113,290.513864628,54.871533843,75.715253028,32.000000,62.829347832,0,321,329,346,D:\桌面\dac\bs_inversion_scale4_v1\samples\train\tile_000032_site00.npz
tile_000032_site01,tile_000032,32,train,24,1,radius_064_128m,163.825366584,315.255371322,48.686157170,40.456341646,32.000000,60.494629404,40,164,292,338,D:\桌面\dac\bs_inversion_scale4_v1\samples\train\tile_000032_site01.npz
tile_000032_site02,tile_000032,32,train,24,2,radius_128_192m,178.047184355,138.224982112,92.943754472,44.011796089,32.000000,36.400150882,81,109,149,232,D:\桌面\dac\bs_inversion_scale4_v1\samples\train\tile_000032_site02.npz
tile_000032_site03,tile_000032,32,train,24,3,radius_192_271m,76.417169491,72.440183043,109.389954239,18.604292373,32.000000,65.094106085,114,225,249,321,D:\桌面\dac\bs_inversion_scale4_v1\samples\train\tile_000032_site03.npz
tile_000033_site00,tile_000033,33,train,25,0,radius_000_064m,263.914397808,246.712653025,65.821836744,65.478599452,26.000000,43.831037827,2,58,299,341,D:\桌面\dac\bs_inversion_scale4_v1\samples\train\tile_000033_site00.npz
tile_000033_site01,tile_000033,33,train,25,1,radius_064_128m,206.753046011,203.378343445,76.655414139,51.188261503,26.000000,36.382856368,124,200,206,303,D:\桌面\dac\bs_inversion_scale4_v1\samples\train\tile_000033_site01.npz
tile_000033_site02,tile_000033,33,train,25,2,radius_128_192m,316.821782197,111.890740879,99.527314780,78.705445549,26.000000,55.346599889,131,182,187,234,D:\桌面\dac\bs_inversion_scale4_v1\samples\train\tile_000033_site02.npz
tile_000033_site03,tile_000033,33,train,25,3,radius_192_271m,88.480451916,106.729887114,100.817528222,21.620112979,26.000000,62.934903482,42,182,267,286,D:\桌面\dac\bs_inversion_scale4_v1\samples\train\tile_000033_site03.npz
tile_000034_site00,tile_000034,34,train,26,0,radius_000_064m,217.903572536,256.726015732,63.318496067,53.975893134,26.000000,63.230208647,34,108,117,192,D:\桌面\dac\bs_inversion_scale4_v1\samples\train\tile_000034_site00.npz
tile_000034_site01,tile_000034,34,train,26,1,radius_064_128m,145.105873422,275.329016809,58.667745798,35.776468356,26.000000,58.265299419,16,172,309,313,D:\桌面\dac\bs_inversion_scale4_v1\samples\train\tile_000034_site01.npz
tile_000034_site02,tile_000034,34,train,26,2,radius_128_192m,392.156848418,237.377794007,68.155551498,97.539212104,26.000000,45.742877596,46,153,258,275,D:\桌面\dac\bs_inversion_scale4_v1\samples\train\tile_000034_site02.npz
tile_000034_site03,tile_000034,34,train,26,3,radius_192_271m,79.423972250,119.312020249,97.671994938,19.355993062,26.000000,69.883304012,9,57,235,349,D:\桌面\dac\bs_inversion_scale4_v1\samples\train\tile_000034_site03.npz
tile_000035_site00,tile_000035,35,train,27,0,radius_000_064m,216.075451108,221.800569270,72.049857682,53.518862777,23.000000,58.684258390,24,180,209,343,D:\桌面\dac\bs_inversion_scale4_v1\samples\train\tile_000035_site00.npz
tile_000035_site01,tile_000035,35,train,27,1,radius_064_128m,360.163011638,313.185093251,49.203726687,89.540752910,23.000000,39.878225350,29,132,154,231,D:\桌面\dac\bs_inversion_scale4_v1\samples\train\tile_000035_site01.npz
tile_000035_site02,tile_000035,35,train,27,2,radius_128_192m,432.085835720,189.926308125,80.018422969,107.521458930,23.000000,65.517695888,15,111,221,223,D:\桌面\dac\bs_inversion_scale4_v1\samples\train\tile_000035_site02.npz
tile_000035_site03,tile_000035,35,train,27,3,radius_192_271m,87.637357625,444.804833524,16.298791619,21.409339406,23.000000,66.725437043,6,93,107,279,D:\桌面\dac\bs_inversion_scale4_v1\samples\train\tile_000035_site03.npz
tile_000036_site00,tile_000036,36,train,28,0,radius_000_064m,206.412496574,222.260205546,71.934948614,51.103124144,23.000000,39.244234454,30,151,191,193,D:\桌面\dac\bs_inversion_scale4_v1\samples\train\tile_000036_site00.npz
tile_000036_site01,tile_000036,36,train,28,1,radius_064_128m,225.408880828,316.753106691,48.311723327,55.852220207,23.000000,67.820635221,103,235,259,352,D:\桌面\dac\bs_inversion_scale4_v1\samples\train\tile_000036_site01.npz
tile_000036_site02,tile_000036,36,train,28,2,radius_128_192m,253.341220777,93.652702906,104.086824274,62.835305194,23.000000,55.884333311,11,30,102,167,D:\桌面\dac\bs_inversion_scale4_v1\samples\train\tile_000036_site02.npz
tile_000036_site03,tile_000036,36,train,28,3,radius_192_271m,99.844091668,400.490936571,27.377265857,24.461022917,23.000000,66.986035288,26,63,93,290,D:\桌面\dac\bs_inversion_scale4_v1\samples\train\tile_000036_site03.npz
tile_000037_site00,tile_000037,37,train,29,0,radius_000_064m,282.773506132,219.758331916,72.560417021,70.193376533,23.000000,68.886262642,83,233,248,284,D:\桌面\dac\bs_inversion_scale4_v1\samples\train\tile_000037_site00.npz
tile_000037_site01,tile_000037,37,train,29,1,radius_064_128m,361.112876099,201.569198020,77.107700495,89.778219025,23.000000,58.833949851,181,212,305,350,D:\桌面\dac\bs_inversion_scale4_v1\samples\train\tile_000037_site01.npz
tile_000037_site02,tile_000037,37,train,29,2,radius_128_192m,367.900340144,375.513313764,33.621671559,91.475085036,23.000000,38.011674937,35,157,178,234,D:\桌面\dac\bs_inversion_scale4_v1\samples\train\tile_000037_site02.npz
