tile,split,block_x,block_y,center_x,center_y,source_dir
tile_000036,train,215,2137,440610.050,4378135.409,D:\桌面\dac\prepared_4m\tile_000036
tile_000037,train,215,2137,441600.000,4377856.000,D:\桌面\dac\prepared_4m\tile_000037
tile_000038,train,216,2137,443136.000,4377856.000,D:\桌面\dac\prepared_4m\tile_000038
tile_000039,train,217,2137,445751.202,4377875.734,D:\桌面\dac\prepared_4m\tile_000039
tile_000040,train,217,2137,446208.000,4377903.470,D:\桌面\dac\prepared_4m\tile_000040
tile_000041,train,193,2137,396544.000,4378368.000,D:\桌面\dac\prepared_4m\tile_000041
tile_000042,train,213,2137,438016.000,4378368.000,D:\桌面\dac\prepared_4m\tile_000042
tile_000043,train,214,2137,439040.000,4378368.000,D:\桌面\dac\prepared_4m\tile_000043
tile_000044,train,215,2137,440576.000,4378368.000,D:\桌面\dac\prepared_4m\tile_000044
tile_000045,train,216,2137,443136.000,4378368.000,D:\桌面\dac\prepared_4m\tile_000045
tile_000046,train,195,2138,400128.000,4378880.000,D:\桌面\dac\prepared_4m\tile_000046
tile_000047,train,214,2138,439040.000,4378880.000,D:\桌面\dac\prepared_4m\tile_000047
tile_000048,train,217,2138,444672.000,4378880.000,D:\桌面\dac\prepared_4m\tile_000048
tile_000049,train,219,2138,449280.000,4378880.000,D:\桌面\dac\prepared_4m\tile_000049
tile_000050,train,219,2138,449792.000,4378880.000,D:\桌面\dac\prepared_4m\tile_000050
tile_000051,train,219,2138,450304.000,4378905.848,D:\桌面\dac\prepared_4m\tile_000051
tile_000052,test,191,2138,392960.000,4379633.950,D:\桌面\dac\prepared_4m\tile_000052
tile_000053,train,194,2138,397580.594,4379392.000,D:\桌面\dac\prepared_4m\tile_000053
tile_000054,train,194,2138,398080.000,4379392.000,D:\桌面\dac\prepared_4m\tile_000054
tile_000055,train,194,2138,399104.000,4379392.000,D:\桌面\dac\prepared_4m\tile_000055
tile_000056,train,196,2138,402176.000,4379392.000,D:\桌面\dac\prepared_4m\tile_000056
tile_000057,train,197,2138,403712.000,4379392.000,D:\桌面\dac\prepared_4m\tile_000057
tile_000058,test,212,2138,435456.000,4379455.552,D:\桌面\dac\prepared_4m\tile_000058
tile_000059,train,215,2138,441088.000,4379392.698,D:\桌面\dac\prepared_4m\tile_000059
tile_000060,train,215,2138,442112.000,4379471.394,D:\桌面\dac\prepared_4m\tile_000060
tile_000061,train,222,2138,454912.000,4379392.000,D:\桌面\dac\prepared_4m\tile_000061
tile_000062,train,194,2138,397568.000,4379904.000,D:\桌面\dac\prepared_4m\tile_000062
tile_000063,train,195,2138,401152.000,4379904.000,D:\桌面\dac\prepared_4m\tile_000063
tile_000064,train,197,2138,403738.832,4379904.000,D:\桌面\dac\prepared_4m\tile_000064
tile_000065,test,212,2138,435456.000,4379904.000,D:\桌面\dac\prepared_4m\tile_000065
tile_000066,train,214,2138,440086.584,4379904.000,D:\桌面\dac\prepared_4m\tile_000066
tile_000067,train,215,2138,440576.000,4379904.000,D:\桌面\dac\prepared_4m\tile_000067
tile_000068,train,215,2138,441088.000,4379904.000,D:\桌面\dac\prepared_4m\tile_000068
tile_000069,train,217,2138,444701.226,4379904.000,D:\桌面\dac\prepared_4m\tile_000069
tile_000070,train,217,2138,445184.000,4379904.000,D:\桌面\dac\prepared_4m\tile_000070
tile_000071,train,217,2138,446208.000,4379926.187,D:\桌面\dac\prepared_4m\tile_000071
tile_000072,train,220,2138,451328.000,4379904.000,D:\桌面\dac\prepared_4m\tile_000072
tile_000073,train,190,2138,390912.000,4380416.000,D:\桌面\dac\prepared_4m\tile_000073
tile_000074,test,191,2138,391424.000,4380416.000,D:\桌面\dac\prepared_4m\tile_000074
tile_000075,test,191,2138,391936.000,4380416.000,D:\桌面\dac\prepared_4m\tile_000075
tile_000076,train,196,2138,402176.000,4380416.000,D:\桌面\dac\prepared_4m\tile_000076
tile_000077,train,200,2138,409856.000,4380416.000,D:\桌面\dac\prepared_4m\tile_000077
tile_000078,train,189,2139,388352.000,4380928.000,D:\桌面\dac\prepared_4m\tile_000078
tile_000079,train,189,2139,388864.000,4380928.000,D:\桌面\dac\prepared_4m\tile_000079
tile_000080,train,190,2139,389376.000,4380930.351,D:\桌面\dac\prepared_4m\tile_000080
tile_000081,train,190,2139,389888.000,4380928.000,D:\桌面\dac\prepared_4m\tile_000081
tile_000082,val,194,2139,397568.000,4380928.000,D:\桌面\dac\prepared_4m\tile_000082
tile_000083,train,197,2139,403712.000,4380928.000,D:\桌面\dac\prepared_4m\tile_000083
tile_000084,train,197,2139,405248.000,4380928.000,D:\桌面\dac\prepared_4m\tile_000084
tile_000085,train,211,2139,433622.446,4380928.000,D:\桌面\dac\prepared_4m\tile_000085
tile_000086,train,217,2139,444672.000,4380928.000,D:\桌面\dac\prepared_4m\tile_000086
tile_000087,train,217,2139,445184.000,4380928.000,D:\桌面\dac\prepared_4m\tile_000087
tile_000088,train,219,2139,449792.000,4380928.000,D:\桌面\dac\prepared_4m\tile_000088
tile_000089,train,220,2139,451840.000,4380928.000,D:\桌面\dac\prepared_4m\tile_000089
tile_000090,test,221,2139,453888.000,4380974.396,D:\桌面\dac\prepared_4m\tile_000090
tile_000091,train,223,2139,456960.000,4380983.337,D:\桌面\dac\prepared_4m\tile_000091
tile_000092,train,191,2139,391936.000,4381440.000,D:\桌面\dac\prepared_4m\tile_000092
tile_000093,train,197,2139,405248.000,4381440.000,D:\桌面\dac\prepared_4m\tile_000093
tile_000094,test,212,2139,435968.000,4381440.000,D:\桌面\dac\prepared_4m\tile_000094
tile_000095,test,213,2139,438016.000,4381440.000,D:\桌面\dac\prepared_4m\tile_000095
tile_000096,train,214,2139,440064.000,4381440.000,D:\桌面\dac\prepared_4m\tile_000096
tile_000097,train,217,2139,444672.000,4381440.000,D:\桌面\dac\prepared_4m\tile_000097
tile_000098,train,217,2139,445187.696,4381440.000,D:\桌面\dac\prepared_4m\tile_000098
tile_000099,train,217,2139,445696.000,4381440.000,D:\桌面\dac\prepared_4m\tile_000099
tile_000100,train,219,2139,448768.000,4381440.000,D:\桌面\dac\prepared_4m\tile_000100
tile_000101,train,222,2139,455424.000,4381524.780,D:\桌面\dac\prepared_4m\tile_000101
tile_000102,train,223,2139,456960.000,4381440.000,D:\桌面\dac\prepared_4m\tile_000102
tile_000103,train,223,2139,457472.000,4381448.214,D:\桌面\dac\prepared_4m\tile_000103
tile_000104,val,194,2139,397568.000,4381952.000,D:\桌面\dac\prepared_4m\tile_000104
tile_000105,train,199,2139,409344.000,4381952.000,D:\桌面\dac\prepared_4m\tile_000105
tile_000106,test,200,2139,409856.000,4381952.000,D:\桌面\dac\prepared_4m\tile_000106
tile_000107,train,202,2139,414464.000,4381952.000,D:\桌面\dac\prepared_4m\tile_000107
tile_000108,train,203,2139,416512.000,4381952.000,D:\桌面\dac\prepared_4m\tile_000108
tile_000109,test,212,2139,434432.000,4381960.331,D:\桌面\dac\prepared_4m\tile_000109
tile_000110,test,215,2139,440576.000,4381981.778,D:\桌面\dac\prepared_4m\tile_000110
tile_000111,test,215,2139,441093.702,4381952.000,D:\桌面\dac\prepared_4m\tile_000111
tile_000112,train,216,2139,443136.000,4381952.000,D:\桌面\dac\prepared_4m\tile_000112
tile_000113,train,216,2139,443648.000,4381952.000,D:\桌面\dac\prepared_4m\tile_000113
tile_000114,train,217,2139,445184.000,4381952.000,D:\桌面\dac\prepared_4m\tile_000114
tile_000115,train,217,2139,445696.000,4381952.000,D:\桌面\dac\prepared_4m\tile_000115
tile_000116,train,218,2139,446720.000,4381952.000,D:\桌面\dac\prepared_4m\tile_000116
tile_000117,val,194,2139,397568.000,4382464.000,D:\桌面\dac\prepared_4m\tile_000117
tile_000118,test,200,2139,410880.000,4382464.000,D:\桌面\dac\prepared_4m\tile_000118
tile_000119,train,208,2139,427776.000,4382464.000,D:\桌面\dac\prepared_4m\tile_000119
tile_000120,test,212,2139,434432.000,4382464.000,D:\桌面\dac\prepared_4m\tile_000120
tile_000121,train,214,2139,439552.000,4382464.000,D:\桌面\dac\prepared_4m\tile_000121
tile_000122,test,215,2139,441088.000,4382464.000,D:\桌面\dac\prepared_4m\tile_000122
tile_000123,train,216,2139,443136.000,4382464.000,D:\桌面\dac\prepared_4m\tile_000123
tile_000124,train,216,2139,443648.000,4382464.000,D:\桌面\dac\prepared_4m\tile_000124
tile_000125,train,217,2139,444672.000,4382464.000,D:\桌面\dac\prepared_4m\tile_000125
tile_000126,train,217,2139,445184.000,4382464.000,D:\桌面\dac\prepared_4m\tile_000126
tile_000127,train,217,2139,445696.000,4382464.000,D:\桌面\dac\prepared_4m\tile_000127
tile_000128,train,217,2139,446208.000,4382464.000,D:\桌面\dac\prepared_4m\tile_000128
tile_000129,train,218,2139,446720.000,4382464.000,D:\桌面\dac\prepared_4m\tile_000129
tile_000130,train,220,2139,450816.000,4382573.160,D:\桌面\dac\prepared_4m\tile_000130
tile_000131,test,199,2140,408320.000,4383067.557,D:\桌面\dac\prepared_4m\tile_000131
tile_000132,train,203,2140,416512.000,4382976.000,D:\桌面\dac\prepared_4m\tile_000132
tile_000133,val,204,2140,419636.607,4383077.569,D:\桌面\dac\prepared_4m\tile_000133
tile_000134,train,211,2140,433920.000,4382976.000,D:\桌面\dac\prepared_4m\tile_000134
tile_000135,train,214,2140,439040.000,4382976.000,D:\桌面\dac\prepared_4m\tile_000135
tile_000136,train,214,2140,439552.000,4382976.000,D:\桌面\dac\prepared_4m\tile_000136
tile_000137,val,217,2140,445184.000,4382976.000,D:\桌面\dac\prepared_4m\tile_000137
tile_000138,val,217,2140,445696.000,4382976.000,D:\桌面\dac\prepared_4m\tile_000138
tile_000139,test,199,2140,407808.000,4383571.962,D:\桌面\dac\prepared_4m\tile_000139
tile_000140,train,200,2140,411392.000,4383538.935,D:\桌面\dac\prepared_4m\tile_000140
tile_000141,train,202,2140,413952.000,4383488.000,D:\桌面\dac\prepared_4m\tile_000141
tile_000142,train,205,2140,420608.000,4383488.000,D:\桌面\dac\prepared_4m\tile_000142
tile_000143,train,208,2140,426240.000,4383488.000,D:\桌面\dac\prepared_4m\tile_000143
tile_000144,train,210,2140,430336.000,4383488.000,D:\桌面\dac\prepared_4m\tile_000144
tile_000145,train,214,2140,439552.000,4383488.000,D:\桌面\dac\prepared_4m\tile_000145
tile_000146,train,214,2140,440064.000,4383488.000,D:\桌面\dac\prepared_4m\tile_000146
tile_000147,train,216,2140,444160.000,4383488.000,D:\桌面\dac\prepared_4m\tile_000147
tile_000148,val,217,2140,444672.000,4383488.000,D:\桌面\dac\prepared_4m\tile_000148
tile_000149,train,220,2140,452352.000,4383488.000,D:\桌面\dac\prepared_4m\tile_000149
tile_000150,train,221,2140,453376.000,4383488.000,D:\桌面\dac\prepared_4m\tile_000150
tile_000151,train,222,2140,455936.000,4383488.000,D:\桌面\dac\prepared_4m\tile_000151
tile_000152,test,199,2140,408353.283,4384000.000,D:\桌面\dac\prepared_4m\tile_000152
tile_000153,test,199,2140,409344.000,4384000.000,D:\桌面\dac\prepared_4m\tile_000153
tile_000154,train,200,2140,409856.000,4384000.000,D:\桌面\dac\prepared_4m\tile_000154
tile_000155,train,202,2140,415488.000,4384000.000,D:\桌面\dac\prepared_4m\tile_000155
tile_000156,train,205,2140,421632.000,4384009.602,D:\桌面\dac\prepared_4m\tile_000156
tile_000157,train,210,2140,430336.000,4384000.000,D:\桌面\dac\prepared_4m\tile_000157
tile_000158,train,214,2140,440064.000,4384000.000,D:\桌面\dac\prepared_4m\tile_000158
tile_000159,train,216,2140,442624.000,4384000.000,D:\桌面\dac\prepared_4m\tile_000159
tile_000160,train,216,2140,443170.563,4384000.000,D:\桌面\dac\prepared_4m\tile_000160
tile_000161,train,216,2140,443648.000,4384000.000,D:\桌面\dac\prepared_4m\tile_000161
tile_000162,val,217,2140,444672.000,4384000.000,D:\桌面\dac\prepared_4m\tile_000162
tile_000163,val,217,2140,445184.000,4384000.000,D:\桌面\dac\prepared_4m\tile_000163
tile_000164,train,193,2140,396032.000,4384512.000,D:\桌面\dac\prepared_4m\tile_000164
tile_000165,train,198,2140,407296.000,4384675.632,D:\桌面\dac\prepared_4m\tile_000165
tile_000166,train,206,2140,423680.000,4384512.000,D:\桌面\dac\prepared_4m\tile_000166
tile_000167,train,207,2140,424192.000,4384512.000,D:\桌面\dac\prepared_4m\tile_000167
tile_000168,train,213,2140,437504.000,4384512.000,D:\桌面\dac\prepared_4m\tile_000168
tile_000169,train,214,2140,440064.000,4384512.000,D:\桌面\dac\prepared_4m\tile_000169
tile_000170,train,215,2140,440576.000,4384512.000,D:\桌面\dac\prepared_4m\tile_000170
tile_000171,train,215,2140,441170.461,4384512.000,D:\桌面\dac\prepared_4m\tile_000171
tile_000172,train,215,2140,441600.000,4384512.000,D:\桌面\dac\prepared_4m\tile_000172
tile_000173,train,216,2140,442624.000,4384512.000,D:\桌面\dac\prepared_4m\tile_000173
tile_000174,train,216,2140,443136.000,4384512.000,D:\桌面\dac\prepared_4m\tile_000174
tile_000175,train,216,2140,443648.000,4384512.000,D:\桌面\dac\prepared_4m\tile_000175
tile_000176,train,216,2140,444160.000,4384512.000,D:\桌面\dac\prepared_4m\tile_000176
tile_000177,val,217,2140,444672.000,4384512.000,D:\桌面\dac\prepared_4m\tile_000177
tile_000178,train,218,2140,448448.829,4384584.619,D:\桌面\dac\prepared_4m\tile_000178
tile_000179,train,223,2140,456960.000,4384582.945,D:\桌面\dac\prepared_4m\tile_000179
tile_000180,train,197,2141,405248.000,4385033.754,D:\桌面\dac\prepared_4m\tile_000180
tile_000181,val,198,2141,406935.224,4385024.000,D:\桌面\dac\prepared_4m\tile_000181
tile_000182,val,198,2141,407296.000,4385024.000,D:\桌面\dac\prepared_4m\tile_000182
tile_000183,train,211,2141,433095.751,4385133.389,D:\桌面\dac\prepared_4m\tile_000183
tile_000184,train,214,2141,440064.000,4385024.000,D:\桌面\dac\prepared_4m\tile_000184
tile_000185,train,215,2141,440576.000,4385024.000,D:\桌面\dac\prepared_4m\tile_000185
tile_000186,train,216,2141,443136.000,4385024.000,D:\桌面\dac\prepared_4m\tile_000186
tile_000187,train,216,2141,443648.000,4385024.000,D:\桌面\dac\prepared_4m\tile_000187
tile_000188,test,218,2141,447232.000,4385024.000,D:\桌面\dac\prepared_4m\tile_000188
tile_000189,test,218,2141,448450.660,4385024.000,D:\桌面\dac\prepared_4m\tile_000189
tile_000190,train,219,2141,448768.000,4385024.000,D:\桌面\dac\prepared_4m\tile_000190
tile_000191,train,221,2141,453376.000,4385118.390,D:\桌面\dac\prepared_4m\tile_000191
tile_000192,val,198,2141,405760.000,4385536.000,D:\桌面\dac\prepared_4m\tile_000192
tile_000193,train,200,2141,409856.000,4385536.000,D:\桌面\dac\prepared_4m\tile_000193
tile_000194,train,200,2141,410368.000,4385536.000,D:\桌面\dac\prepared_4m\tile_000194
tile_000195,train,200,2141,410880.000,4385536.000,D:\桌面\dac\prepared_4m\tile_000195
tile_000196,test,201,2141,413440.000,4385536.000,D:\桌面\dac\prepared_4m\tile_000196
tile_000197,train,204,2141,419584.000,4385536.000,D:\桌面\dac\prepared_4m\tile_000197
tile_000198,train,208,2141,426752.000,4385548.457,D:\桌面\dac\prepared_4m\tile_000198
tile_000199,train,212,2141,434944.000,4385536.000,D:\桌面\dac\prepared_4m\tile_000199
tile_000200,train,214,2141,440064.000,4385536.000,D:\桌面\dac\prepared_4m\tile_000200
tile_000201,train,216,2141,442707.745,4385536.000,D:\桌面\dac\prepared_4m\tile_000201
tile_000202,train,216,2141,443648.000,4385536.000,D:\桌面\dac\prepared_4m\tile_000202
tile_000203,val,217,2141,445184.000,4385590.201,D:\桌面\dac\prepared_4m\tile_000203
tile_000204,val,217,2141,445696.000,4385536.000,D:\桌面\dac\prepared_4m\tile_000204
tile_000205,train,222,2141,455936.000,4385536.000,D:\桌面\dac\prepared_4m\tile_000205
tile_000206,train,223,2141,457984.000,4385536.000,D:\桌面\dac\prepared_4m\tile_000206
tile_000207,train,235,2141,481558.382,4385543.109,D:\桌面\dac\prepared_4m\tile_000207
tile_000208,train,195,2141,400640.000,4386059.985,D:\桌面\dac\prepared_4m\tile_000208
tile_000209,test,196,2141,401664.000,4386048.000,D:\桌面\dac\prepared_4m\tile_000209
tile_000210,test,201,2141,413440.000,4386048.000,D:\桌面\dac\prepared_4m\tile_000210
tile_000211,train,202,2141,413952.000,4386048.000,D:\桌面\dac\prepared_4m\tile_000211
tile_000212,train,204,2141,419584.000,4386048.000,D:\桌面\dac\prepared_4m\tile_000212
tile_000213,train,207,2141,425728.000,4386048.000,D:\桌面\dac\prepared_4m\tile_000213
tile_000214,test,218,2141,447744.000,4386051.317,D:\桌面\dac\prepared_4m\tile_000214
tile_000215,test,218,2141,448256.000,4386070.098,D:\桌面\dac\prepared_4m\tile_000215
tile_000216,train,197,2141,404224.000,4386560.000,D:\桌面\dac\prepared_4m\tile_000216
tile_000217,train,202,2141,413952.000,4386560.000,D:\桌面\dac\prepared_4m\tile_000217
tile_000218,train,213,2141,438016.000,4386560.000,D:\桌面\dac\prepared_4m\tile_000218
tile_000219,test,218,2141,447744.000,4386560.000,D:\桌面\dac\prepared_4m\tile_000219
tile_000220,train,197,2142,403735.579,4387072.000,D:\桌面\dac\prepared_4m\tile_000220
tile_000221,train,197,2142,404224.000,4387072.000,D:\桌面\dac\prepared_4m\tile_000221
tile_000222,test,199,2142,409344.000,4387129.480,D:\桌面\dac\prepared_4m\tile_000222
tile_000223,train,200,2142,410880.000,4387072.000,D:\桌面\dac\prepared_4m\tile_000223
tile_000224,val,201,2142,412928.000,4387072.000,D:\桌面\dac\prepared_4m\tile_000224
tile_000225,val,201,2142,413440.000,4387072.000,D:\桌面\dac\prepared_4m\tile_000225
tile_000226,train,211,2142,433920.000,4387105.380,D:\桌面\dac\prepared_4m\tile_000226
tile_000227,train,212,2142,435456.000,4387072.000,D:\桌面\dac\prepared_4m\tile_000227
tile_000228,train,219,2142,450304.000,4387072.000,D:\桌面\dac\prepared_4m\tile_000228
tile_000229,train,198,2142,405760.000,4387584.000,D:\桌面\dac\prepared_4m\tile_000229
tile_000230,test,199,2142,409344.000,4387584.000,D:\桌面\dac\prepared_4m\tile_000230
tile_000231,val,201,2142,413526.996,4387584.000,D:\桌面\dac\prepared_4m\tile_000231
tile_000232,train,203,2142,417024.000,4387584.000,D:\桌面\dac\prepared_4m\tile_000232
tile_000233,train,235,2142,482560.000,4387588.799,D:\桌面\dac\prepared_4m\tile_000233
tile_000234,train,196,2142,401664.000,4388098.441,D:\桌面\dac\prepared_4m\tile_000234
tile_000235,train,196,2142,402176.000,4388096.000,D:\桌面\dac\prepared_4m\tile_000235
tile_000236,train,198,2142,406792.746,4388100.122,D:\桌面\dac\prepared_4m\tile_000236
tile_000237,train,208,2142,426859.444,4388096.000,D:\桌面\dac\prepared_4m\tile_000237
tile_000238,train,212,2142,434944.000,4388096.000,D:\桌面\dac\prepared_4m\tile_000238
tile_000239,train,213,2142,437020.869,4388096.000,D:\桌面\dac\prepared_4m\tile_000239
tile_000240,train,216,2142,444160.000,4388096.000,D:\桌面\dac\prepared_4m\tile_000240
tile_000241,train,218,2142,447232.000,4388096.000,D:\桌面\dac\prepared_4m\tile_000241
tile_000242,train,221,2142,453091.999,4388097.951,D:\桌面\dac\prepared_4m\tile_000242
tile_000243,train,221,2142,453376.000,4388096.346,D:\桌面\dac\prepared_4m\tile_000243
tile_000244,val,229,2142,470272.000,4388096.000,D:\桌面\dac\prepared_4m\tile_000244
tile_000245,train,230,2142,471296.000,4388115.747,D:\桌面\dac\prepared_4m\tile_000245
tile_000246,train,230,2142,471808.000,4388096.000,D:\桌面\dac\prepared_4m\tile_000246
tile_000247,train,235,2142,482579.048,4388096.000,D:\桌面\dac\prepared_4m\tile_000247
tile_000248,train,198,2142,406824.632,4388608.000,D:\桌面\dac\prepared_4m\tile_000248
tile_000249,val,201,2142,412416.000,4388608.000,D:\桌面\dac\prepared_4m\tile_000249
tile_000250,train,215,2142,441116.422,4388608.000,D:\桌面\dac\prepared_4m\tile_000250
tile_000251,train,217,2142,445696.000,4388608.000,D:\桌面\dac\prepared_4m\tile_000251
tile_000252,train,218,2142,447859.334,4388608.000,D:\桌面\dac\prepared_4m\tile_000252
tile_000253,train,219,2142,449280.000,4388608.000,D:\桌面\dac\prepared_4m\tile_000253
tile_000254,val,223,2142,456960.000,4388608.000,D:\桌面\dac\prepared_4m\tile_000254
tile_000255,val,223,2142,457472.000,4388608.000,D:\桌面\dac\prepared_4m\tile_000255
tile_000256,val,229,2142,470272.000,4388608.000,D:\桌面\dac\prepared_4m\tile_000256
tile_000257,train,195,2143,399616.000,4389179.580,D:\桌面\dac\prepared_4m\tile_000257
tile_000258,train,200,2143,410551.499,4389120.000,D:\桌面\dac\prepared_4m\tile_000258
tile_000259,train,200,2143,410880.000,4389120.000,D:\桌面\dac\prepared_4m\tile_000259
tile_000260,test,201,2143,412416.000,4389120.000,D:\桌面\dac\prepared_4m\tile_000260
tile_000261,train,202,2143,415584.726,4389126.283,D:\桌面\dac\prepared_4m\tile_000261
tile_000262,val,206,2143,422656.000,4389160.398,D:\桌面\dac\prepared_4m\tile_000262
tile_000263,val,206,2143,423168.000,4389120.000,D:\桌面\dac\prepared_4m\tile_000263
tile_000264,train,213,2143,436480.000,4389155.659,D:\桌面\dac\prepared_4m\tile_000264
tile_000265,train,213,2143,436992.000,4389120.000,D:\桌面\dac\prepared_4m\tile_000265
tile_000266,train,213,2143,437504.000,4389120.000,D:\桌面\dac\prepared_4m\tile_000266
tile_000267,train,214,2143,438528.000,4389120.000,D:\桌面\dac\prepared_4m\tile_000267
tile_000268,train,218,2143,447744.000,4389120.000,D:\桌面\dac\prepared_4m\tile_000268
tile_000269,train,224,2143,459008.000,4389120.000,D:\桌面\dac\prepared_4m\tile_000269
tile_000270,val,236,2143,483698.368,4389120.000,D:\桌面\dac\prepared_4m\tile_000270
tile_000271,val,212,2143,434432.000,4389632.000,D:\桌面\dac\prepared_4m\tile_000271
tile_000272,val,212,2143,434944.000,4389632.000,D:\桌面\dac\prepared_4m\tile_000272
tile_000273,train,213,2143,436480.000,4389632.000,D:\桌面\dac\prepared_4m\tile_000273
tile_000274,train,213,2143,437504.000,4389632.000,D:\桌面\dac\prepared_4m\tile_000274
tile_000275,test,199,2143,408320.000,4390144.000,D:\桌面\dac\prepared_4m\tile_000275
tile_000276,test,199,2143,408832.000,4390144.000,D:\桌面\dac\prepared_4m\tile_000276
tile_000277,test,199,2143,409344.000,4390144.000,D:\桌面\dac\prepared_4m\tile_000277
tile_000278,test,201,2143,412928.000,4390144.000,D:\桌面\dac\prepared_4m\tile_000278
tile_000279,test,201,2143,413440.000,4390144.000,D:\桌面\dac\prepared_4m\tile_000279
tile_000280,train,205,2143,421120.000,4390144.000,D:\桌面\dac\prepared_4m\tile_000280
tile_000281,train,209,2143,429824.000,4390144.000,D:\桌面\dac\prepared_4m\tile_000281
tile_000282,val,212,2143,435456.000,4390193.547,D:\桌面\dac\prepared_4m\tile_000282
tile_000283,val,212,2143,435968.000,4390144.000,D:\桌面\dac\prepared_4m\tile_000283
tile_000284,train,216,2143,444160.000,4390240.476,D:\桌面\dac\prepared_4m\tile_000284
tile_000285,train,221,2143,454400.000,4390144.000,D:\桌面\dac\prepared_4m\tile_000285
tile_000286,test,237,2143,485632.000,4390147.814,D:\桌面\dac\prepared_4m\tile_000286
tile_000287,test,199,2143,408320.000,4390656.000,D:\桌面\dac\prepared_4m\tile_000287
tile_000288,val,206,2143,423168.000,4390656.000,D:\桌面\dac\prepared_4m\tile_000288
tile_000289,val,210,2143,430848.000,4390656.000,D:\桌面\dac\prepared_4m\tile_000289
tile_000290,val,210,2143,431360.000,4390656.000,D:\桌面\dac\prepared_4m\tile_000290
tile_000291,train,214,2143,440064.000,4390656.000,D:\桌面\dac\prepared_4m\tile_000291
tile_000292,train,219,2143,450304.000,4390656.000,D:\桌面\dac\prepared_4m\tile_000292
tile_000293,train,234,2143,481024.000,4390656.000,D:\桌面\dac\prepared_4m\tile_000293
tile_000294,train,235,2143,481536.000,4390656.000,D:\桌面\dac\prepared_4m\tile_000294
tile_000295,train,198,2144,406272.000,4391168.000,D:\桌面\dac\prepared_4m\tile_000295
tile_000296,train,198,2144,406784.000,4391168.000,D:\桌面\dac\prepared_4m\tile_000296
