tile,split,status,valid_gain_pixels,seconds,error
tile_000058,test,ok,11994,0.006,
tile_000059,train,ok,10782,0.005,
tile_000060,train,ok,12866,0.005,
tile_000061,train,ok,11288,0.005,
tile_000062,train,ok,12791,0.006,
tile_000063,train,ok,12929,0.005,
tile_000064,train,ok,12642,0.006,
tile_000065,test,ok,12885,0.006,
tile_000066,train,ok,12924,0.005,
tile_000067,train,ok,12853,0.005,
tile_000068,train,ok,10506,0.005,
tile_000069,train,ok,13013,0.006,
tile_000070,train,ok,12113,0.006,
tile_000071,train,ok,12339,0.005,
tile_000072,train,ok,11947,0.006,
tile_000073,train,ok,8900,0.006,
tile_000074,test,ok,10425,0.006,
tile_000075,test,ok,12792,0.006,
tile_000076,train,ok,9875,0.006,
tile_000077,train,ok,12283,0.006,
tile_000078,train,ok,9440,0.006,
tile_000079,train,ok,9187,0.006,
tile_000080,train,ok,11414,0.006,
tile_000081,train,ok,11823,0.006,
tile_000082,val,ok,11055,0.006,
tile_000083,train,ok,10906,0.005,
tile_000084,train,ok,10916,0.006,
tile_000085,train,ok,12121,0.005,
tile_000086,train,ok,12489,0.005,
tile_000087,train,ok,11869,0.005,
tile_000088,train,ok,12040,0.005,
tile_000089,train,ok,11520,0.005,
tile_000090,test,ok,12511,0.006,
tile_000091,train,ok,11657,0.005,
tile_000092,train,ok,11149,0.005,
tile_000093,train,ok,11987,0.006,
tile_000094,test,ok,11270,0.006,
tile_000095,test,ok,11233,0.006,
tile_000096,train,ok,10292,0.006,
tile_000097,train,ok,13120,0.005,
tile_000098,train,ok,13129,0.006,
tile_000099,train,ok,13105,0.006,
tile_000100,train,ok,12120,0.006,
tile_000101,train,ok,12845,0.005,
tile_000102,train,ok,11395,0.005,
tile_000103,train,ok,12771,0.005,
tile_000104,val,ok,12955,0.006,
tile_000105,train,ok,9665,0.005,
tile_000106,test,ok,12612,0.006,
tile_000107,train,ok,10431,0.005,
tile_000108,train,ok,11303,0.005,
tile_000109,test,ok,12799,0.006,
tile_000110,test,ok,12693,0.007,
tile_000111,test,ok,13024,0.006,
tile_000112,train,ok,12960,0.005,
tile_000113,train,ok,11946,0.005,
tile_000114,train,ok,12880,0.006,
tile_000115,train,ok,11438,0.006,
tile_000116,train,ok,12195,0.006,
tile_000117,val,ok,12698,0.007,
tile_000118,test,ok,12182,0.006,
tile_000119,train,ok,11785,0.005,
tile_000120,test,ok,12030,0.006,
tile_000121,train,ok,11887,0.005,
tile_000122,test,ok,12593,0.006,
tile_000123,train,ok,12015,0.005,
tile_000124,train,ok,11703,0.005,
tile_000125,train,ok,10484,0.006,
tile_000126,train,ok,11463,0.005,
tile_000127,train,ok,12006,0.005,
tile_000128,train,ok,12056,0.005,
tile_000129,train,ok,12859,0.005,
tile_000130,train,ok,11574,0.005,
tile_000131,test,ok,11457,0.006,
tile_000132,train,ok,12392,0.005,
tile_000133,val,ok,11898,0.006,
tile_000134,train,ok,10646,0.005,
tile_000135,train,ok,12333,0.005,
tile_000136,train,ok,11396,0.005,
tile_000137,val,ok,12706,0.006,
tile_000138,val,ok,11819,0.006,
tile_000139,test,ok,12724,0.006,
tile_000140,train,ok,9570,0.005,
tile_000141,train,ok,11187,0.006,
tile_000142,train,ok,12850,0.006,
tile_000143,train,ok,11227,0.005,
tile_000144,train,ok,11645,0.005,
tile_000145,train,ok,10274,0.005,
tile_000146,train,ok,12168,0.005,
tile_000147,train,ok,11517,0.005,
tile_000148,val,ok,9218,0.006,
tile_000149,train,ok,13043,0.006,
tile_000150,train,ok,11317,0.005,
tile_000151,train,ok,11160,0.005,
tile_000152,test,ok,12017,0.005,
tile_000153,test,ok,12602,0.006,
tile_000154,train,ok,12425,0.005,
tile_000155,train,ok,12348,0.005,
tile_000156,train,ok,13059,0.005,
tile_000157,train,ok,11657,0.005,
tile_000158,train,ok,11669,0.005,
tile_000159,train,ok,10078,0.005,
tile_000160,train,ok,10757,0.005,
tile_000161,train,ok,10243,0.006,
tile_000162,val,ok,12096,0.006,
tile_000163,val,ok,10958,0.006,
tile_000164,train,ok,12139,0.005,
tile_000165,train,ok,12802,0.006,
tile_000166,train,ok,12993,0.005,
tile_000167,train,ok,12297,0.005,
tile_000168,train,ok,12177,0.005,
tile_000169,train,ok,9196,0.006,
tile_000170,train,ok,11022,0.005,
tile_000171,train,ok,12108,0.006,
tile_000172,train,ok,11612,0.005,
tile_000173,train,ok,11514,0.005,
tile_000174,train,ok,8915,0.005,
tile_000175,train,ok,8637,0.005,
tile_000176,train,ok,11143,0.005,
tile_000177,val,ok,10253,0.006,
tile_000178,train,ok,12960,0.006,
tile_000179,train,ok,12906,0.005,
tile_000180,train,ok,12189,0.005,
tile_000181,val,ok,12137,0.006,
tile_000182,val,ok,11603,0.006,
tile_000183,train,ok,12346,0.006,
tile_000184,train,ok,11675,0.005,
tile_000185,train,ok,12719,0.006,
tile_000186,train,ok,12099,0.005,
tile_000187,train,ok,11376,0.005,
tile_000188,test,ok,12310,0.006,
tile_000189,test,ok,12958,0.006,
tile_000190,train,ok,11488,0.006,
tile_000191,train,ok,12635,0.006,
tile_000192,val,ok,12723,0.006,
tile_000193,train,ok,12724,0.005,
tile_000194,train,ok,10897,0.006,
tile_000195,train,ok,9103,0.005,
tile_000196,test,ok,10336,0.005,
tile_000197,train,ok,11616,0.005,
tile_000198,train,ok,11818,0.006,
tile_000199,train,ok,11499,0.005,
tile_000200,train,ok,12976,0.005,
tile_000201,train,ok,12424,0.005,
tile_000202,train,ok,11706,0.005,
tile_000203,val,ok,12024,0.006,
tile_000204,val,ok,11979,0.006,
tile_000205,train,ok,12797,0.005,
tile_000206,train,ok,13026,0.006,
tile_000207,train,ok,8987,0.006,
tile_000208,train,ok,12688,0.005,
tile_000209,test,ok,12148,0.006,
tile_000210,test,ok,10061,0.006,
tile_000211,train,ok,9758,0.005,
tile_000212,train,ok,11941,0.005,
tile_000213,train,ok,12453,0.005,
tile_000214,test,ok,10969,0.006,
tile_000215,test,ok,12764,0.006,
tile_000216,train,ok,11591,0.006,
tile_000217,train,ok,13008,0.005,
tile_000218,train,ok,12184,0.006,
tile_000219,test,ok,12429,0.005,
tile_000220,train,ok,12676,0.005,
tile_000221,train,ok,12283,0.005,
tile_000222,test,ok,10226,0.006,
tile_000223,train,ok,11899,0.005,
tile_000224,val,ok,10840,0.006,
tile_000225,val,ok,13066,0.006,
tile_000226,train,ok,12209,0.005,
tile_000227,train,ok,12394,0.005,
tile_000228,train,ok,12695,0.006,
tile_000229,train,ok,12683,0.005,
tile_000230,test,ok,12719,0.006,
tile_000231,val,ok,12435,0.006,
tile_000232,train,ok,12620,0.005,
tile_000233,train,ok,11047,0.005,
tile_000234,train,ok,11992,0.005,
tile_000235,train,ok,10935,0.005,
tile_000236,train,ok,11549,0.005,
tile_000237,train,ok,13036,0.005,
tile_000238,train,ok,10985,0.005,
tile_000239,train,ok,12212,0.005,
tile_000240,train,ok,12555,0.005,
tile_000241,train,ok,12910,0.005,
tile_000242,train,ok,13118,0.005,
tile_000243,train,ok,11962,0.005,
tile_000244,val,ok,12069,0.005,
tile_000245,train,ok,11690,0.005,
tile_000246,train,ok,11081,0.005,
tile_000247,train,ok,12979,0.005,
tile_000248,train,ok,11327,0.005,
tile_000249,val,ok,8463,0.006,
tile_000250,train,ok,12884,0.005,
tile_000251,train,ok,10832,0.005,
tile_000252,train,ok,11747,0.005,
tile_000253,train,ok,11348,0.005,
tile_000254,val,ok,10872,0.006,
tile_000255,val,ok,12099,0.006,
tile_000256,val,ok,13036,0.005,
tile_000257,train,ok,12109,0.005,
tile_000258,train,ok,12045,0.005,
tile_000259,train,ok,12159,0.005,
tile_000260,test,ok,12468,0.006,
tile_000261,train,ok,13053,0.005,
tile_000262,val,ok,10991,0.006,
tile_000263,val,ok,10315,0.005,
tile_000264,train,ok,12169,0.005,
tile_000265,train,ok,12813,0.005,
tile_000266,train,ok,11375,0.005,
tile_000267,train,ok,11307,0.005,
tile_000268,train,ok,11642,0.005,
tile_000269,train,ok,12828,0.005,
tile_000270,val,ok,12409,0.006,
tile_000271,val,ok,11129,0.006,
tile_000272,val,ok,11678,0.006,
tile_000273,train,ok,12006,0.006,
tile_000274,train,ok,11727,0.005,
tile_000275,test,ok,13038,0.005,
tile_000276,test,ok,10430,0.006,
tile_000277,test,ok,10806,0.006,
tile_000278,test,ok,12130,0.006,
tile_000279,test,ok,8631,0.006,
tile_000280,train,ok,12924,0.005,
tile_000281,train,ok,12314,0.005,
tile_000282,val,ok,12966,0.006,
tile_000283,val,ok,12888,0.006,
tile_000284,train,ok,10951,0.005,
tile_000285,train,ok,12602,0.005,
tile_000286,test,ok,7573,0.006,
tile_000287,test,ok,12649,0.006,
tile_000288,val,ok,12573,0.006,
tile_000289,val,ok,10090,0.005,
tile_000290,val,ok,12632,0.006,
tile_000291,train,ok,11634,0.005,
tile_000292,train,ok,12562,0.005,
tile_000293,train,ok,10930,0.005,
tile_000294,train,ok,12320,0.005,
tile_000295,train,ok,12424,0.005,
tile_000296,train,ok,8547,0.005,
tile_000297,val,ok,12296,0.005,
tile_000298,val,ok,10575,0.006,
tile_000299,val,ok,11465,0.006,
tile_000300,val,ok,11794,0.006,
tile_000301,train,ok,10533,0.005,
tile_000302,train,ok,12766,0.006,
tile_000303,val,ok,12963,0.005,
tile_000304,train,ok,12696,0.005,
tile_000305,val,ok,12878,0.006,
tile_000306,train,ok,12120,0.005,
tile_000307,train,ok,10326,0.005,
tile_000308,train,ok,13107,0.005,
tile_000309,train,ok,12215,0.005,
tile_000310,val,ok,11890,0.006,
tile_000311,train,ok,12754,0.005,
tile_000312,train,ok,13121,0.005,
tile_000313,test,ok,12527,0.005,
tile_000314,test,ok,8641,0.006,
tile_000315,val,ok,10441,0.006,
tile_000316,train,ok,11304,0.005,
tile_000317,train,ok,11310,0.005,
tile_000318,train,ok,12509,0.005,
tile_000319,train,ok,11947,0.006,
tile_000320,train,ok,12811,0.005,
tile_000321,train,ok,12654,0.005,
tile_000322,train,ok,12056,0.005,
tile_000323,train,ok,11736,0.005,
tile_000324,train,ok,12394,0.005,
tile_000325,train,ok,11429,0.005,
tile_000326,val,ok,12653,0.006,
tile_000327,train,ok,12782,0.005,
tile_000328,train,ok,13083,0.005,
tile_000329,train,ok,11897,0.005,
tile_000330,train,ok,9821,0.006,
tile_000331,train,ok,12458,0.005,
tile_000332,train,ok,12721,0.005,
tile_000333,train,ok,9515,0.005,
tile_000334,val,ok,12591,0.006,
tile_000335,train,ok,12819,0.006,
tile_000336,train,ok,11333,0.006,
tile_000337,train,ok,12928,0.006,
tile_000338,train,ok,13003,0.005,
tile_000339,train,ok,12179,0.005,
tile_000340,train,ok,12876,0.005,
tile_000341,val,ok,12273,0.006,
tile_000342,train,ok,12297,0.005,
tile_000343,train,ok,11016,0.005,
tile_000344,train,ok,11539,0.005,
tile_000345,train,ok,12862,0.005,
tile_000346,train,ok,11565,0.005,
tile_000347,train,ok,12734,0.005,
tile_000348,train,ok,13012,0.006,
tile_000349,val,ok,12423,0.006,
tile_000350,train,ok,12277,0.006,
tile_000351,train,ok,11221,0.005,
tile_000352,train,ok,8626,0.006,
tile_000353,train,ok,13035,0.006,
tile_000354,train,ok,11582,0.006,
tile_000355,train,ok,13083,0.006,
tile_000356,train,ok,11548,0.005,
tile_000357,val,ok,12685,0.006,
tile_000358,train,ok,11774,0.006,
tile_000359,train,ok,11959,0.006,
tile_000360,train,ok,12422,0.006,
tile_000361,train,ok,11041,0.005,
tile_000362,train,ok,11945,0.006,
tile_000363,train,ok,12871,0.005,
tile_000364,train,ok,12859,0.005,
tile_000365,test,ok,11979,0.006,
tile_000366,val,ok,8929,0.006,
tile_000367,train,ok,12701,0.005,
tile_000368,val,ok,12872,0.006,
tile_000369,test,ok,12930,0.006,
tile_000370,train,ok,12924,0.005,
tile_000371,train,ok,11647,0.005,
tile_000372,train,ok,12778,0.005,
tile_000373,train,ok,8770,0.005,
tile_000374,val,ok,9700,0.006,
tile_000375,train,ok,11757,0.005,
tile_000376,train,ok,12340,0.005,
tile_000377,train,ok,11973,0.005,
tile_000378,train,ok,11307,0.005,
tile_000379,test,ok,12654,0.006,
tile_000380,val,ok,11900,0.006,
tile_000381,train,ok,13057,0.005,
tile_000382,train,ok,11621,0.005,
tile_000383,train,ok,12100,0.005,
tile_000384,train,ok,12722,0.005,
tile_000385,train,ok,10980,0.005,
tile_000386,train,ok,11897,0.006,
tile_000387,train,ok,12373,0.006,
tile_000388,train,ok,12937,0.006,
tile_000389,train,ok,13120,0.005,
tile_000390,val,ok,12727,0.005,
tile_000391,train,ok,11834,0.005,
tile_000392,train,ok,12170,0.006,
tile_000393,train,ok,12808,0.005,
tile_000394,train,ok,10466,0.006,
tile_000395,val,ok,11594,0.006,
tile_000396,train,ok,12745,0.005,
tile_000397,train,ok,11201,0.005,
tile_000398,train,ok,12550,0.006,
tile_000399,train,ok,12203,0.006,
tile_000400,val,ok,10547,0.006,
tile_000401,train,ok,11093,0.005,
tile_000402,train,ok,12498,0.006,
tile_000403,train,ok,11286,0.006,
tile_000404,train,ok,12956,0.006,
tile_000405,train,ok,11817,0.006,
tile_000406,train,ok,13071,0.006,
tile_000407,train,ok,13140,0.006,
tile_000408,train,ok,12374,0.006,
tile_000409,test,ok,12913,0.006,
tile_000410,test,ok,12870,0.007,
tile_000411,train,ok,11666,0.006,
tile_000412,train,ok,10015,0.006,
tile_000413,train,ok,12886,0.006,
tile_000414,val,ok,11904,0.006,
tile_000415,train,ok,13024,0.006,
tile_000416,train,ok,12125,0.005,
tile_000417,test,ok,12164,0.005,
tile_000418,train,ok,10011,0.005,
tile_000419,train,ok,11660,0.005,
tile_000420,train,ok,12934,0.006,
tile_000421,train,ok,11872,0.005,
tile_000422,train,ok,12929,0.005,
tile_000423,train,ok,11032,0.005,
tile_000424,train,ok,12895,0.006,
tile_000425,train,ok,12599,0.005,
tile_000426,train,ok,11006,0.005,
tile_000427,train,ok,12614,0.006,
tile_000428,train,ok,12174,0.005,
tile_000429,train,ok,12967,0.006,
tile_000430,train,ok,12943,0.005,
tile_000431,train,ok,12701,0.006,
tile_000432,train,ok,12956,0.005,
tile_000433,train,ok,12225,0.005,
tile_000434,train,ok,11531,0.006,
tile_000435,train,ok,12336,0.006,
tile_000436,train,ok,12798,0.006,
tile_000437,train,ok,12499,0.006,
tile_000438,train,ok,12572,0.006,
tile_000439,train,ok,12958,0.006,
tile_000440,train,ok,12301,0.006,
tile_000441,train,ok,12488,0.006,
tile_000442,train,ok,12102,0.005,
tile_000443,train,ok,12803,0.006,
tile_000444,train,ok,11097,0.005,
tile_000445,train,ok,11775,0.006,
tile_000446,train,ok,12586,0.005,
tile_000447,train,ok,12604,0.005,
tile_000448,train,ok,12156,0.005,
tile_000449,train,ok,12476,0.005,
tile_000450,train,ok,12574,0.005,
tile_000451,train,ok,12505,0.005,
tile_000452,train,ok,13016,0.005,
tile_000453,train,ok,10051,0.006,
tile_000454,train,ok,11757,0.006,
tile_000455,train,ok,12616,0.005,
tile_000456,train,ok,12650,0.006,
tile_000457,train,ok,11088,0.006,
tile_000458,train,ok,12724,0.005,
tile_000459,train,ok,12794,0.006,
tile_000460,train,ok,13083,0.005,
tile_000461,train,ok,12278,0.005,
tile_000462,train,ok,11412,0.006,
tile_000463,train,ok,12817,0.005,
tile_000464,val,ok,12936,0.006,
tile_000465,train,ok,11840,0.006,
tile_000466,train,ok,11058,0.005,
tile_000467,train,ok,9226,0.006,
tile_000468,train,ok,9142,0.006,
tile_000469,train,ok,12974,0.005,
tile_000470,train,ok,12263,0.005,
tile_000471,train,ok,13058,0.006,
tile_000472,train,ok,13001,0.006,
tile_000473,train,ok,12837,0.006,
tile_000474,train,ok,10095,0.005,
tile_000475,train,ok,13076,0.005,
tile_000476,train,ok,11121,0.005,
tile_000477,train,ok,12422,0.006,
tile_000478,test,ok,12908,0.006,
tile_000479,train,ok,11317,0.005,
tile_000480,test,ok,12917,0.006,
tile_000481,train,ok,12680,0.006,
tile_000482,train,ok,10772,0.006,
tile_000483,train,ok,12473,0.006,
tile_000484,train,ok,11880,0.006,
tile_000485,train,ok,13063,0.006,
tile_000486,train,ok,11262,0.006,
tile_000487,train,ok,11053,0.005,
tile_000488,train,ok,12219,0.006,
tile_000489,train,ok,11490,0.006,
tile_000490,train,ok,9465,0.006,
tile_000491,train,ok,10051,0.006,
tile_000492,train,ok,12534,0.006,
tile_000493,train,ok,12616,0.005,
tile_000494,train,ok,12618,0.005,
tile_000495,train,ok,12190,0.005,
tile_000496,train,ok,12946,0.005,
tile_000497,train,ok,13091,0.005,
tile_000498,test,ok,11529,0.006,
tile_000499,test,ok,11966,0.006,
tile_000500,train,ok,11430,0.005,
tile_000501,val,ok,11448,0.006,
tile_000502,test,ok,13018,0.006,
tile_000503,train,ok,13135,0.005,
tile_000504,train,ok,9032,0.005,
tile_000505,train,ok,8335,0.005,
tile_000506,train,ok,11355,0.005,
tile_000507,train,ok,11392,0.005,
tile_000508,test,ok,12382,0.006,
tile_000509,test,ok,13035,0.006,
tile_000510,test,ok,12996,0.006,
tile_000511,train,ok,13076,0.005,
tile_000512,val,ok,12712,0.006,
tile_000513,train,ok,13023,0.005,
tile_000514,train,ok,11928,0.006,
tile_000515,train,ok,12792,0.006,
tile_000516,train,ok,12721,0.005,
tile_000517,train,ok,12547,0.005,
tile_000518,train,ok,11435,0.015,
tile_000519,train,ok,12186,0.015,
tile_000520,train,ok,11783,0.016,
tile_000521,train,ok,11263,0.016,
tile_000522,train,ok,12398,0.006,
tile_000523,train,ok,13052,0.006,
tile_000524,train,ok,12617,0.006,
tile_000525,test,ok,12952,0.006,
tile_000526,test,ok,12692,0.006,
tile_000527,val,ok,12650,0.006,
tile_000528,train,ok,13091,0.005,
tile_000529,train,ok,12320,0.005,
tile_000530,train,ok,12304,0.006,
tile_000531,train,ok,11404,0.005,
tile_000532,train,ok,12342,0.005,
tile_000533,train,ok,12188,0.006,
tile_000534,val,ok,12685,0.006,
tile_000535,train,ok,10116,0.006,
tile_000536,test,ok,12487,0.006,
tile_000537,test,ok,12916,0.006,
tile_000538,train,ok,13113,0.006,
tile_000539,train,ok,12842,0.005,
tile_000540,train,ok,10853,0.005,
tile_000541,train,ok,13108,0.006,
tile_000542,train,ok,11991,0.005,
tile_000543,train,ok,12970,0.005,
tile_000544,train,ok,12775,0.005,
tile_000545,train,ok,12158,0.005,
tile_000546,train,ok,12705,0.005,
tile_000547,train,ok,8066,0.006,
tile_000548,train,ok,9452,0.005,
tile_000549,train,ok,12349,0.005,
tile_000550,train,ok,11490,0.006,
tile_000551,test,ok,12774,0.006,
tile_000552,test,ok,11718,0.006,
tile_000553,train,ok,12370,0.005,
tile_000554,val,ok,12663,0.006,
tile_000555,train,ok,7445,0.006,
tile_000556,train,ok,12971,0.006,
tile_000557,train,ok,13123,0.005,
tile_000558,val,ok,12780,0.006,
tile_000559,train,ok,13110,0.006,
tile_000560,train,ok,13121,0.005,
tile_000561,train,ok,12066,0.006,
tile_000562,train,ok,12059,0.006,
tile_000563,train,ok,12530,0.006,
tile_000564,test,ok,11831,0.006,
tile_000565,val,ok,12385,0.006,
tile_000566,train,ok,10864,0.006,
tile_000567,train,ok,12452,0.006,
tile_000568,train,ok,11688,0.006,
tile_000569,train,ok,11870,0.006,
tile_000570,train,ok,13078,0.005,
tile_000571,val,ok,12139,0.006,
tile_000572,train,ok,12550,0.005,
tile_000573,train,ok,13045,0.005,
tile_000574,train,ok,11819,0.006,
tile_000575,train,ok,12687,0.006,
tile_000576,train,ok,12555,0.006,
tile_000577,train,ok,12414,0.006,
tile_000578,test,ok,12062,0.006,
tile_000579,test,ok,12832,0.006,
tile_000580,test,ok,11484,0.006,
tile_000581,test,ok,11793,0.006,
tile_000582,train,ok,12125,0.005,
tile_000583,train,ok,12791,0.005,
tile_000584,train,ok,12824,0.005,
tile_000585,val,ok,12585,0.006,
tile_000586,val,ok,12537,0.006,
tile_000587,train,ok,13098,0.006,
tile_000588,train,ok,13001,0.006,
tile_000589,train,ok,12625,0.006,
tile_000590,train,ok,12163,0.006,
tile_000591,train,ok,12608,0.006,
tile_000592,train,ok,10330,0.006,
tile_000593,train,ok,9971,0.006,
tile_000594,train,ok,12708,0.006,
tile_000595,train,ok,12701,0.006,
tile_000596,train,ok,11881,0.006,
tile_000597,train,ok,12247,0.006,
tile_000598,train,ok,11938,0.006,
tile_000599,test,ok,12794,0.006,
tile_000600,test,ok,12374,0.006,
tile_000601,train,ok,12174,0.006,
tile_000602,val,ok,12271,0.006,
tile_000603,train,ok,12742,0.005,
tile_000604,train,ok,13097,0.006,
tile_000605,train,ok,12827,0.006,
tile_000606,train,ok,12002,0.006,
tile_000607,train,ok,10686,0.006,
tile_000608,train,ok,11748,0.006,
tile_000609,train,ok,10378,0.005,
tile_000610,val,ok,8763,0.006,
tile_000611,val,ok,10141,0.006,
tile_000612,val,ok,12665,0.006,
tile_000613,train,ok,10271,0.005,
tile_000614,test,ok,12469,0.006,
tile_000615,train,ok,13078,0.006,
tile_000616,train,ok,12357,0.006,
tile_000617,train,ok,12232,0.005,
tile_000618,test,ok,12986,0.005,
tile_000619,test,ok,11800,0.006,
tile_000620,test,ok,13133,0.005,
tile_000621,train,ok,12835,0.005,
tile_000622,train,ok,12281,0.005,
tile_000623,train,ok,12330,0.005,
tile_000624,train,ok,12878,0.006,
tile_000625,train,ok,12162,0.005,
tile_000626,train,ok,12842,0.006,
tile_000627,train,ok,12984,0.006,
tile_000628,train,ok,11886,0.006,
tile_000629,train,ok,12551,0.005,
tile_000630,val,ok,11718,0.006,
tile_000631,val,ok,11082,0.006,
tile_000632,val,ok,11881,0.006,
tile_000633,val,ok,12040,0.006,
tile_000634,train,ok,11932,0.005,
tile_000635,train,ok,11436,0.005,
tile_000636,test,ok,12691,0.006,
tile_000637,test,ok,11877,0.006,
tile_000638,train,ok,13158,0.006,
tile_000639,train,ok,12834,0.006,
tile_000640,train,ok,11429,0.006,
tile_000641,train,ok,12680,0.006,
tile_000642,train,ok,13035,0.005,
tile_000643,train,ok,12960,0.005,
tile_000644,train,ok,12802,0.005,
tile_000645,train,ok,11815,0.005,
tile_000646,train,ok,12518,0.006,
tile_000647,train,ok,12819,0.005,
tile_000648,train,ok,11068,0.005,
tile_000649,train,ok,12966,0.005,
tile_000650,train,ok,13066,0.006,
tile_000651,train,ok,12075,0.006,
tile_000652,train,ok,13054,0.006,
tile_000653,val,ok,12852,0.006,
tile_000654,train,ok,11052,0.006,
tile_000655,test,ok,13305,0.006,
tile_000656,test,ok,12731,0.006,
tile_000657,train,ok,12460,0.005,
tile_000658,train,ok,12278,0.005,
tile_000659,train,ok,12970,0.005,
tile_000660,train,ok,12552,0.005,
tile_000661,train,ok,12556,0.006,
tile_000662,test,ok,12964,0.006,
tile_000663,train,ok,12881,0.005,
tile_000664,train,ok,12481,0.006,
tile_000665,train,ok,12369,0.005,
tile_000666,train,ok,12957,0.005,
tile_000667,test,ok,12386,0.006,
tile_000668,train,ok,12095,0.006,
tile_000669,train,ok,12980,0.005,
tile_000670,train,ok,13199,0.006,
tile_000671,train,ok,12711,0.006,
tile_000672,train,ok,12068,0.006,
tile_000673,train,ok,12062,0.006,
tile_000674,val,ok,12366,0.006,
tile_000675,train,ok,12766,0.006,
tile_000676,test,ok,13010,0.006,
tile_000677,train,ok,12017,0.005,
tile_000678,train,ok,11090,0.006,
tile_000679,train,ok,13104,0.005,
tile_000680,train,ok,13120,0.005,
tile_000681,train,ok,10868,0.005,
tile_000682,train,ok,11843,0.006,
tile_000683,train,ok,12761,0.005,
tile_000684,test,ok,12801,0.006,
tile_000685,train,ok,12551,0.005,
tile_000686,train,ok,12628,0.005,
tile_000687,train,ok,12284,0.005,
tile_000688,train,ok,12184,0.005,
tile_000689,train,ok,10433,0.006,
tile_000690,train,ok,11638,0.006,
tile_000691,train,ok,12132,0.006,
tile_000692,train,ok,12082,0.006,
tile_000693,train,ok,12661,0.005,
tile_000694,train,ok,12383,0.005,
tile_000695,val,ok,13048,0.006,
tile_000696,train,ok,13132,0.005,
tile_000697,train,ok,12961,0.005,
tile_000698,train,ok,12895,0.005,
tile_000699,train,ok,12560,0.005,
tile_000700,train,ok,12678,0.006,
tile_000701,train,ok,11152,0.006,
tile_000702,train,ok,13005,0.006,
tile_000703,train,ok,12294,0.005,
tile_000704,train,ok,13056,0.005,
tile_000705,train,ok,12681,0.005,
tile_000706,train,ok,13068,0.005,
tile_000707,val,ok,12714,0.006,
tile_000708,val,ok,12940,0.006,
tile_000709,train,ok,12291,0.005,
tile_000710,train,ok,12757,0.005,
tile_000711,train,ok,10775,0.006,
tile_000712,train,ok,10114,0.005,
tile_000713,train,ok,9601,0.005,
tile_000714,train,ok,11038,0.006,
tile_000715,train,ok,12816,0.006,
tile_000716,train,ok,12337,0.005,
tile_000717,train,ok,11479,0.006,
tile_000718,val,ok,13237,0.007,
tile_000719,train,ok,11812,0.006,
tile_000720,train,ok,12147,0.006,
tile_000721,train,ok,13100,0.006,
tile_000722,train,ok,12541,0.006,
tile_000723,train,ok,11266,0.006,
tile_000724,train,ok,12387,0.006,
tile_000725,train,ok,10213,0.006,
tile_000726,val,ok,11853,0.006,
tile_000727,train,ok,11899,0.006,
tile_000728,train,ok,10752,0.006,
tile_000729,train,ok,10981,0.006,
tile_000730,train,ok,9341,0.006,
tile_000731,train,ok,12883,0.006,
tile_000732,train,ok,11788,0.006,
tile_000733,train,ok,13063,0.006,
tile_000734,train,ok,12883,0.006,
