tile,split,split_index,block_x,block_y,block_round
tile_000587,train,166,217,2150,0
tile_013470,train,167,88,1225,0
tile_017013,train,168,47,1237,0
tile_001378,train,169,225,2157,0
tile_024346,train,170,205,1264,0
tile_015247,train,171,95,1231,0
tile_022522,train,172,228,1255,0
tile_002557,train,173,247,2168,0
tile_000194,train,174,200,2141,0
tile_002514,train,175,217,2168,0
tile_027142,train,176,75,1334,0
tile_026605,train,177,5,1295,0
tile_026657,train,178,166,1301,0
tile_007358,train,179,256,2109,0
tile_025717,train,180,230,1272,0
tile_026695,train,181,182,1303,0
tile_007566,train,182,251,2111,0
tile_009447,train,183,-121,1117,0
tile_025933,train,184,224,1275,0
tile_009542,train,185,-110,1136,0
tile_002830,train,186,227,2171,0
tile_001436,train,187,227,2157,0
tile_006771,train,188,235,2100,0
tile_026534,train,189,74,1291,0
tile_008796,train,190,249,2130,0
tile_023277,train,191,28,1259,0
tile_025960,train,192,68,1275,0
tile_019430,train,193,171,1245,0
tile_014344,train,194,43,1228,0
tile_000401,train,195,220,2146,0
tile_015597,train,196,117,1232,0
tile_012593,train,197,84,1222,0
tile_022094,train,198,-18,1254,0
tile_009599,train,199,-120,1141,0
tile_008744,train,200,256,2128,0
tile_004265,train,201,442,1682,0
tile_011654,train,202,44,1218,0
tile_023577,train,203,31,1261,0
tile_002416,train,204,216,2167,0
tile_008587,train,205,255,2123,0
tile_016935,train,206,-8,1237,0
tile_017034,train,207,77,1237,0
tile_007042,train,208,244,2106,0
tile_015157,train,209,88,1230,0
tile_017206,train,210,187,1238,0
tile_000293,train,211,234,2143,0
tile_003090,train,212,212,2177,0
tile_021126,train,213,57,1250,0
tile_010018,train,214,30,1175,0
tile_007948,train,215,262,2114,0
tile_015685,train,216,110,1232,0
tile_000251,train,217,217,2142,0
tile_001243,train,218,223,2156,0
tile_010322,train,219,-12,1186,0
tile_008984,train,220,240,2136,0
tile_011956,train,221,91,1219,0
tile_017073,train,222,51,1238,0
tile_007375,train,223,250,2110,0
tile_010823,train,224,-18,1202,0
tile_027206,train,225,76,1341,0
tile_008294,train,226,249,2119,0
tile_000423,train,227,237,2147,0
tile_001094,train,228,215,2155,0
tile_009498,train,229,-120,1133,0
tile_002542,train,230,219,2168,0
tile_019506,train,231,220,1246,0
tile_023310,train,232,-31,1259,0
tile_009731,train,233,-72,1162,0
tile_019143,train,234,58,1245,0
tile_023184,train,235,222,1258,0
tile_006612,train,236,243,2091,0
tile_010558,train,237,-50,1195,0
tile_027132,train,238,201,1332,0
tile_000025,train,239,192,2137,0
tile_003455,train,240,448,1666,0
tile_010150,train,241,-10,1183,0
tile_009837,train,242,-41,1166,0
tile_003092,train,243,231,2177,0
tile_018606,train,244,97,1243,0
tile_027234,train,245,75,1347,0
tile_003153,train,246,235,2179,0
tile_010510,train,247,61,1192,0
tile_013966,train,248,63,1227,0
tile_020873,train,249,78,1250,0
tile_024592,train,250,55,1265,0
tile_014827,train,251,59,1229,0
tile_021829,train,252,68,1253,0
tile_018395,train,253,47,1242,0
tile_002052,train,254,228,2162,0
tile_009813,train,255,-49,1165,0
tile_024105,train,256,29,1263,0
tile_018741,train,257,100,1243,0
tile_002546,train,258,224,2168,0
tile_022153,train,259,233,1254,0
tile_015576,train,260,90,1232,0
tile_013856,train,261,110,1226,0
tile_003382,train,262,244,2192,0
tile_022138,train,263,73,1254,0
tile_022175,train,264,51,1254,0
tile_009656,train,265,-104,1151,0
tile_002678,train,266,235,2169,0
tile_010930,train,267,70,1205,0
tile_003378,train,268,209,2190,0
tile_008596,train,269,251,2124,0
tile_016366,train,270,83,1234,0
tile_024687,train,271,234,1266,0
tile_025714,train,272,215,1272,0
tile_007816,train,273,245,2113,0
tile_016628,train,274,55,1235,0
tile_004820,train,275,435,1688,0
tile_016248,train,276,190,1234,0
tile_013532,train,277,55,1226,0
tile_009288,train,278,261,2159,0
tile_014655,train,279,62,1229,0
tile_012013,train,280,95,1219,0
tile_011750,train,281,63,1218,0
tile_022417,train,282,51,1255,0
tile_008494,train,283,252,2121,0
tile_014369,train,284,60,1228,0
tile_016433,train,285,102,1234,0
tile_020982,train,286,2,1250,0
tile_023369,train,287,47,1260,0
tile_008295,train,288,250,2119,0
tile_011085,train,289,26,1210,0
tile_000142,train,290,205,2140,0
tile_002447,train,291,227,2167,0
tile_002112,train,292,212,2163,0
tile_026562,train,293,182,1293,0
tile_006584,train,294,439,1720,0
tile_017594,train,295,85,1239,0
tile_011164,train,296,59,1212,0
tile_003227,train,297,231,2182,0
tile_000340,train,298,199,2145,0
tile_010856,train,299,-76,1203,0
tile_006544,train,300,441,1703,0
tile_016331,train,301,33,1234,0
tile_007907,train,302,260,2114,0
tile_027357,train,303,49,1368,0
tile_017976,train,304,57,1241,0
tile_002508,train,305,211,2168,0
tile_017208,train,306,196,1238,0
tile_011051,train,307,63,1209,0
tile_011395,train,308,36,1216,0
tile_003857,train,309,472,1676,0
tile_014266,train,310,55,1228,0
tile_026100,train,311,163,1278,0
tile_016986,train,312,174,1237,0
tile_018949,train,313,98,1244,0
tile_000642,train,314,234,2151,0
tile_023262,train,315,201,1259,0
tile_025460,train,316,210,1270,0
tile_009779,train,317,-75,1164,0
tile_016050,train,318,57,1233,0
tile_009917,train,319,-54,1173,0
tile_009619,train,320,-101,1144,0
tile_027346,train,321,63,1360,0
tile_020466,train,322,16,1249,0
tile_009364,train,323,259,2164,0
tile_026485,train,324,132,1287,0
tile_018465,train,325,14,1242,0
tile_014439,train,326,141,1228,0
tile_003542,train,327,452,1669,0
tile_016317,train,328,168,1234,0
tile_000700,train,329,224,2152,0
tile_018822,train,330,217,1243,0
tile_016110,train,331,-29,1233,0
tile_003730,train,332,470,1674,0
tile_010579,train,333,52,1196,0
tile_022471,train,334,46,1255,0
tile_003020,train,335,214,2174,0
tile_023686,train,336,47,1261,0
tile_010977,train,337,31,1206,0
tile_011057,train,338,-54,1209,0
tile_021865,train,339,-16,1253,0
tile_019952,train,340,63,1247,0
tile_022907,train,341,34,1257,0
tile_002301,train,342,226,2165,0
tile_018959,train,343,208,1244,0
tile_008844,train,344,247,2131,0
tile_024809,train,345,229,1266,0
tile_022311,train,346,92,1255,0
tile_010892,train,347,-73,1204,0
tile_003380,train,348,206,2191,0
tile_023727,train,349,230,1261,0
tile_026580,train,350,1,1294,0
tile_003562,train,351,456,1670,0
tile_002233,train,352,231,2165,0
tile_026042,train,353,244,1276,0
tile_008190,train,354,242,2117,0
tile_024334,train,355,56,1264,0
tile_010095,train,356,-29,1180,0
tile_003873,train,357,439,1677,0
tile_001577,train,358,216,2158,0
tile_009591,train,359,-110,1139,0
tile_026390,train,360,131,1284,0
tile_022585,train,361,222,1256,0
tile_003497,train,362,447,1668,0
tile_017284,train,363,176,1238,0
tile_006336,train,364,449,1699,0
tile_022721,train,365,48,1256,0
tile_005327,train,366,456,1691,0
tile_006459,train,367,441,1701,0
tile_016722,train,368,70,1236,0
tile_026950,train,369,66,1313,0
tile_016157,train,370,104,1233,0
tile_000832,train,371,214,2153,0
tile_010852,train,372,50,1203,0
tile_009719,train,373,-73,1162,0
tile_000373,train,374,211,2146,0
tile_023818,train,375,61,1262,0
tile_021689,train,376,68,1252,0
tile_011044,train,377,45,1209,0
tile_023580,train,378,33,1261,0
tile_008963,train,379,239,2136,0
tile_001148,train,380,218,2156,0
tile_006074,train,381,457,1696,0
tile_011953,train,382,90,1219,0
tile_014279,train,383,65,1228,0
tile_001762,train,384,223,2159,0
tile_002951,train,385,257,2173,0
tile_009754,train,386,-71,1163,0
tile_017131,train,387,58,1238,0
tile_004349,train,388,468,1683,0
tile_012542,train,389,87,1222,0
tile_015194,train,390,118,1230,0
tile_004608,train,391,450,1686,0
tile_018951,train,392,99,1244,0
tile_017609,train,393,164,1239,0
tile_002108,train,394,232,2163,0
tile_010525,train,395,-7,1193,0
tile_000889,train,396,207,2154,0
tile_000465,train,397,205,2148,0
tile_008129,train,398,259,2116,0
tile_011058,train,399,48,1209,0
tile_022570,train,400,197,1256,0
tile_026703,train,401,179,1303,0
tile_023760,train,402,196,1262,0
tile_026636,train,403,163,1299,0
tile_004515,train,404,444,1686,0
tile_007674,train,405,244,2112,0
tile_000208,train,406,195,2141,0
tile_017526,train,407,94,1239,0
tile_013056,train,408,96,1224,0
tile_010690,train,409,48,1200,0
tile_008465,train,410,258,2121,0
tile_010515,train,411,41,1193,0
tile_002535,train,412,208,2168,0
tile_009413,train,413,268,2169,0
tile_010609,train,414,60,1198,0
tile_008323,train,415,251,2119,0
tile_016028,train,416,191,1233,0
tile_002307,train,417,242,2165,0
tile_027226,train,418,15,1343,0
tile_009395,train,419,266,2166,0
tile_026368,train,420,128,1283,0
tile_012746,train,421,45,1223,0
tile_021027,train,422,59,1250,0
tile_010915,train,423,67,1204,0
tile_011718,train,424,42,1218,0
tile_007126,train,425,273,2107,0
tile_018084,train,426,74,1241,0
tile_004591,train,427,438,1686,0
tile_020799,train,428,37,1250,0
tile_002409,train,429,237,2166,0
tile_017943,train,430,129,1241,0
tile_009156,train,431,240,2142,0
tile_022965,train,432,35,1258,0
tile_003118,train,433,212,2178,0
tile_011453,train,434,60,1217,0
tile_007880,train,435,245,2114,0
tile_013211,train,436,126,1224,0
tile_020817,train,437,47,1250,0
tile_025566,train,438,228,1271,0
tile_004179,train,439,442,1681,0
tile_008524,train,440,246,2122,0
tile_020196,train,441,57,1248,0
tile_002680,train,442,238,2169,0
tile_024891,train,443,219,1267,0
tile_012770,train,444,92,1223,0
tile_016500,train,445,119,1235,0
tile_011363,train,446,59,1216,0
tile_006622,train,447,249,2092,0
tile_016164,train,448,112,1233,0
tile_006604,train,449,241,2091,0
tile_025651,train,450,207,1272,0
tile_010069,train,451,-65,1177,0
tile_024625,train,452,231,1265,0
tile_026531,train,453,77,1291,0
tile_024754,train,454,219,1266,0
tile_026007,train,455,179,1276,0
tile_019326,train,456,82,1245,0
tile_004482,train,457,441,1685,0
tile_027167,train,458,70,1339,0
tile_009448,train,459,-92,1117,0
tile_016963,train,460,55,1237,0
tile_008568,train,461,277,2123,0
tile_001026,train,462,213,2155,0
tile_000212,train,463,204,2141,0
tile_007522,train,464,264,2111,0
tile_023576,train,465,-9,1261,0
tile_009454,train,466,-90,1120,0
tile_016817,train,467,118,1236,0
tile_003206,train,468,234,2181,0
tile_022846,train,469,229,1257,0
tile_026656,train,470,185,1300,0
tile_011178,train,471,28,1213,0
tile_005111,train,472,440,1690,0
tile_007812,train,473,269,2113,0
tile_014105,train,474,55,1227,0
tile_016741,train,475,-4,1236,0
tile_000101,train,476,222,2139,0
tile_023359,train,477,-17,1260,0
tile_006162,train,478,447,1697,0
tile_024139,train,479,226,1263,0
tile_003726,train,480,454,1674,0
tile_025882,train,481,225,1274,0
tile_023703,train,482,75,1261,0
tile_025870,train,483,198,1274,0
tile_012798,train,484,36,1223,0
tile_021843,train,485,107,1253,0
tile_014790,train,486,118,1229,0
tile_021881,train,487,50,1253,0
tile_016975,train,488,84,1237,0
tile_023529,train,489,-23,1261,0
tile_017770,train,490,47,1240,0
tile_002631,train,491,248,2169,0
tile_025894,train,492,77,1275,0
tile_024499,train,493,233,1265,0
tile_012012,train,494,94,1219,0
tile_000367,train,495,204,2146,0
tile_017954,train,496,33,1241,0
tile_024004,train,497,61,1263,0
tile_026627,train,498,193,1297,0
tile_018814,train,499,185,1243,0
tile_003858,train,500,431,1676,0
tile_007162,train,501,271,2108,0
tile_008985,train,502,242,2136,0
tile_027096,train,503,188,1327,0
tile_009761,train,504,-113,1163,0
tile_024659,train,505,56,1266,0
tile_014251,train,506,115,1228,0
tile_026128,train,507,240,1278,0
tile_009096,train,508,240,2139,0
tile_026684,train,509,180,1303,0
tile_026801,train,510,41,1309,0
tile_010906,train,511,70,1204,0
tile_020701,train,512,42,1249,0
tile_022253,train,513,206,1254,0
tile_007145,train,514,271,2107,0
tile_008652,train,515,242,2125,0
tile_023896,train,516,215,1262,0
tile_018426,train,517,74,1242,0
tile_017726,train,518,60,1240,0
tile_016474,train,519,77,1235,0
tile_007062,train,520,272,2106,0
tile_017747,train,521,109,1240,0
tile_027000,train,522,66,1315,0
tile_018896,train,523,-5,1244,0
tile_004491,train,524,446,1685,0
tile_023490,train,525,34,1260,0
tile_009881,train,526,-63,1169,0
tile_003593,train,527,446,1671,0
tile_024711,train,528,215,1266,0
tile_026460,train,529,165,1285,0
tile_002077,train,530,219,2163,0
tile_006951,train,531,238,2104,0
tile_016938,train,532,31,1237,0
tile_022348,train,533,49,1255,0
tile_027134,train,534,203,1332,0
tile_000654,train,535,220,2151,0
tile_004065,train,536,437,1679,0
tile_014957,train,537,56,1230,0
tile_011304,train,538,-11,1215,0
tile_018356,train,539,107,1242,0
tile_002781,train,540,239,2170,0
tile_020786,train,541,15,1250,0
tile_026639,train,542,26,1299,0
tile_026057,train,543,246,1277,0
tile_000686,train,544,238,2151,0
tile_013643,train,545,94,1226,0
tile_010226,train,546,-73,1184,0
tile_022376,train,547,204,1255,0
tile_017797,train,548,76,1240,0
tile_027191,train,549,16,1341,0
tile_009100,train,550,254,2139,0
tile_008825,train,551,268,2130,0
tile_002270,train,552,211,2165,0
tile_003161,train,553,226,2180,0
tile_002217,train,554,241,2164,0
tile_006935,train,555,239,2104,0
tile_011233,train,556,22,1215,0
tile_026060,train,557,67,1277,0
tile_009317,train,558,272,2161,0
tile_008666,train,559,255,2126,0
tile_000070,train,560,217,2138,0
tile_024117,train,561,55,1263,0
tile_021360,train,562,118,1251,0
tile_016527,train,563,62,1235,0
tile_017242,train,564,74,1238,0
tile_003912,train,565,458,1677,0
tile_006929,train,566,259,2104,0
tile_003043,train,567,244,2175,0
tile_026377,train,568,44,1284,0
tile_021351,train,569,69,1251,0
tile_009443,train,570,-113,1112,0
tile_009221,train,571,262,2148,0
tile_021945,train,572,51,1253,0
tile_009440,train,573,-117,1109,0
tile_006901,train,574,243,2104,0
tile_003539,train,575,455,1669,0
tile_004740,train,576,451,1687,0
tile_019975,train,577,-7,1247,0
tile_007380,train,578,257,2110,0
tile_006627,train,579,241,2092,0
tile_024574,train,580,26,1265,0
tile_010692,train,581,49,1200,0
tile_027048,train,582,200,1320,0
tile_021691,train,583,74,1252,0
tile_008997,train,584,237,2137,0
tile_025572,train,585,241,1271,0
tile_012324,train,586,60,1221,0
tile_024042,train,587,30,1263,0
tile_005599,train,588,458,1693,0
tile_026860,train,589,186,1311,0
tile_003359,train,590,206,2189,0
tile_012223,train,591,88,1220,0
tile_017478,train,592,43,1239,0
tile_003782,train,593,458,1674,0
tile_003301,train,594,237,2184,0
tile_021069,train,595,124,1250,0
tile_008958,train,596,252,2135,0
tile_000524,train,597,215,2149,0
tile_007316,train,598,272,2109,0
tile_025788,train,599,179,1273,0
tile_007530,train,600,273,2111,0
tile_000211,train,601,202,2141,0
tile_009658,train,602,-98,1151,0
tile_026145,train,603,47,1279,0
tile_016812,train,604,97,1236,0
tile_009460,train,605,-120,1123,0
tile_007671,train,606,241,2112,0
tile_012237,train,607,117,1220,0
tile_022028,train,608,211,1253,0
tile_006426,train,609,449,1700,0
tile_000471,train,610,220,2148,0
tile_021973,train,611,117,1253,0
tile_026234,train,612,130,1281,0
tile_000281,train,613,209,2143,0
tile_008949,train,614,245,2135,0
tile_003630,train,615,466,1672,0
tile_002054,train,616,231,2162,0
tile_015048,train,617,78,1230,0
tile_021366,train,618,38,1251,0
tile_000449,train,619,239,2148,0
tile_014096,train,620,48,1227,0
tile_002214,train,621,236,2164,0
tile_009451,train,622,-120,1118,0
tile_008454,train,623,239,2121,0
tile_026013,train,624,228,1276,0
tile_026447,train,625,46,1285,0
tile_013224,train,626,50,1224,0
tile_025163,train,627,225,1268,0
tile_018775,train,628,45,1243,0
tile_022525,train,629,22,1256,0
tile_013552,train,630,89,1226,0
tile_023320,train,631,39,1259,0
tile_001641,train,632,211,2159,0
tile_013915,train,633,100,1227,0
tile_008272,train,634,256,2118,0
tile_000280,train,635,205,2143,0
tile_013787,train,636,53,1226,0
tile_002531,train,637,244,2168,0
tile_025807,train,638,211,1273,0
tile_021923,train,639,218,1253,0
tile_005446,train,640,453,1692,0
tile_009136,train,641,243,2141,0
tile_001147,train,642,217,2156,0
tile_002003,train,643,230,2162,0
tile_018527,train,644,-21,1243,0
tile_003337,train,645,237,2187,0
tile_022775,train,646,58,1257,0
tile_014315,train,647,101,1228,0
tile_009580,train,648,-106,1138,0
tile_012464,train,649,46,1221,0
tile_015230,train,650,62,1231,0
tile_002623,train,651,230,2169,0
tile_010998,train,652,13,1207,0
tile_002154,train,653,235,2164,0
tile_003929,train,654,456,1678,0
tile_015056,train,655,84,1230,0
tile_012430,train,656,51,1221,0
tile_013978,train,657,89,1227,0
tile_001102,train,658,218,2155,0
tile_000916,train,659,226,2154,0
tile_000361,train,660,217,2145,0
tile_009275,train,661,262,2158,0
tile_010487,train,662,51,1190,0
tile_016789,train,663,41,1236,0
tile_020124,train,664,59,1248,0
tile_019579,train,665,15,1246,0
tile_019027,train,666,-18,1244,0
tile_021723,train,667,50,1252,0
tile_017136,train,668,77,1238,0
tile_014158,train,669,108,1227,0
tile_020054,train,670,103,1247,0
tile_003050,train,671,232,2175,0
tile_009816,train,672,-43,1165,0
tile_012386,train,673,59,1221,0
tile_008541,train,674,258,2122,0
tile_010813,train,675,50,1202,0
tile_015544,train,676,55,1232,0
tile_021279,train,677,36,1251,0
tile_026825,train,678,203,1310,0
tile_008443,train,679,245,2121,0
tile_021159,train,680,75,1250,0
tile_016214,train,681,92,1234,0
tile_022746,train,682,226,1256,0
tile_017605,train,683,109,1239,0
tile_026237,train,684,45,1281,0
tile_024192,train,685,209,1263,0
tile_023762,train,686,202,1262,0
tile_007198,train,687,255,2108,0
tile_015269,train,688,115,1231,0
tile_014970,train,689,86,1230,0
tile_003651,train,690,441,1672,0
tile_002836,train,691,236,2171,0
tile_015440,train,692,-41,1231,0
tile_017854,train,693,73,1240,0
tile_026174,train,694,54,1279,0
tile_008174,train,695,240,2117,0
tile_015275,train,696,136,1231,0
tile_008998,train,697,240,2137,0
tile_026049,train,698,49,1277,0
tile_027052,train,699,213,1321,0
tile_015110,train,700,184,1230,0
tile_006904,train,701,261,2104,0
tile_012898,train,702,57,1223,0
tile_015799,train,703,48,1232,0
tile_004073,train,704,443,1679,0
tile_014002,train,705,103,1227,0
tile_020028,train,706,54,1247,0
tile_000422,train,707,234,2147,0
tile_026571,train,708,4,1294,0
tile_006650,train,709,254,2094,0
tile_009311,train,710,264,2161,0
tile_008612,train,711,253,2124,0
tile_008012,train,712,262,2115,0
tile_016026,train,713,158,1233,0
tile_015747,train,714,88,1232,0
tile_017274,train,715,109,1238,0
tile_008143,train,716,254,2116,0
tile_008373,train,717,259,2120,0
tile_015961,train,718,47,1233,0
tile_027227,train,719,73,1343,0
tile_006552,train,720,442,1703,0
tile_007878,train,721,267,2114,0
tile_010754,train,722,8,1201,0
tile_016139,train,723,91,1233,0
tile_025844,train,724,218,1274,0
tile_003869,train,725,468,1676,0
tile_012252,train,726,54,1220,0
tile_026037,train,727,75,1276,0
tile_004423,train,728,439,1685,0
tile_009508,train,729,-105,1134,0
tile_015679,train,730,100,1232,0
tile_007197,train,731,254,2108,0
tile_022916,train,732,46,1257,0
tile_006176,train,733,455,1697,0
tile_025364,train,734,216,1269,0
tile_002972,train,735,230,2173,0
tile_002863,train,736,213,2172,0
tile_014806,train,737,39,1229,0
tile_016118,train,738,53,1233,0
tile_019513,train,739,41,1246,0
tile_008926,train,740,237,2135,0
tile_010519,train,741,-10,1193,0
tile_009893,train,742,-51,1170,0
tile_025847,train,743,49,1274,0
tile_023828,train,744,76,1262,0
tile_013880,train,745,60,1227,0
tile_026218,train,746,54,1280,0
tile_013181,train,747,76,1224,0
tile_009245,train,748,250,2155,0
tile_004876,train,749,454,1688,0
tile_014466,train,750,82,1228,0
tile_023865,train,751,40,1262,0
tile_002284,train,752,229,2165,0
tile_015791,train,753,38,1232,0
tile_017277,train,754,171,1238,0
tile_008349,train,755,276,2119,0
tile_027131,train,756,215,1332,0
tile_009398,train,757,269,2166,0
tile_002354,train,758,245,2166,0
tile_022902,train,759,208,1257,0
tile_018345,train,760,80,1242,0
tile_006579,train,761,446,1713,0
tile_008013,train,762,271,2115,0
tile_003362,train,763,202,2189,0
tile_010988,train,764,32,1207,0
tile_006230,train,765,442,1697,0
tile_001929,train,766,210,2161,0
tile_009887,train,767,-109,1170,0
tile_021356,train,768,99,1251,0
tile_002461,train,769,246,2167,0
tile_026661,train,770,182,1301,0
tile_021712,train,771,224,1252,0
tile_023684,train,772,40,1261,0
tile_026039,train,773,212,1276,0
tile_003604,train,774,438,1672,0
tile_013002,train,775,3,1224,0
tile_021074,train,776,31,1250,0
tile_016127,train,777,61,1233,0
tile_007150,train,778,276,2107,0
tile_007569,train,779,252,2111,0
tile_000328,train,780,202,2144,0
tile_023956,train,781,120,1262,0
tile_003297,train,782,241,2184,0
tile_015525,train,783,4,1232,0
tile_021183,train,784,37,1251,0
tile_008621,train,785,272,2124,0
tile_008374,train,786,260,2120,0
tile_012007,train,787,88,1219,0
tile_004402,train,788,437,1684,0
tile_001054,train,789,228,2155,0
tile_024539,train,790,198,1265,0
tile_001640,train,791,210,2159,0
tile_003389,train,792,246,2192,0
tile_018835,train,793,41,1244,0
tile_010545,train,794,-2,1194,0
tile_001797,train,795,225,2160,0
tile_000569,train,796,213,2150,0
tile_006346,train,797,437,1699,0
tile_002489,train,798,218,2167,0
tile_018743,train,799,128,1243,0
tile_012415,train,800,-54,1221,0
tile_003008,train,801,211,2174,0
tile_006687,train,802,254,2097,0
tile_004171,train,803,459,1680,0
tile_019666,train,804,44,1246,0
tile_023924,train,805,28,1262,0
tile_018364,train,806,208,1242,0
tile_003930,train,807,457,1678,0
tile_010539,train,808,-21,1194,0
tile_027165,train,809,75,1339,0
tile_005005,train,810,452,1689,0
tile_010536,train,811,59,1194,0
tile_009468,train,812,-112,1124,0
tile_012755,train,813,53,1223,0
tile_005983,train,814,449,1695,0
tile_014436,train,815,117,1228,0
