split,split_index,old_tile,new_tile,old_xmin,old_ymin,new_xmin,new_ymin,new_block_x,new_block_y,stage1_inputs
train,546,tile_010226,tile_006155,-148974.068,2426368.0,907776.0,3475456.0,443,1697,ok
train,570,tile_009443,tile_002838,-230912.0,2277449.237,489601.799,4447232.0,239,2171,ok
train,573,tile_009440,tile_002493,-238592.0,2272256.0,453120.0,4439552.0,221,2167,ok
train,577,tile_019975,tile_004783,-13824.0,2555445.897,928256.0,3457024.0,453,1688,ok
train,602,tile_009658,tile_024547,-199680.0,2358784.0,419328.0,2591744.0,204,1265,ok
train,605,tile_009460,tile_010681,-245760.0,2299904.0,141312.0,2458624.0,69,1200,ok
train,622,tile_009451,tile_024102,-245248.0,2290176.0,56832.0,2587648.0,27,1263,ok
train,644,tile_018527,tile_012767,-41984.0,2545664.0,137728.0,2504704.0,67,1223,ok
train,648,tile_009580,tile_025661,-216576.0,2332179.744,439296.0,2605056.0,214,1272,ok
train,666,tile_019027,tile_017923,-36352.0,2549248.0,168448.0,2541568.0,82,1241,ok
train,672,tile_009816,tile_023062,-86528.0,2387456.0,416768.0,2576896.0,203,1258,ok
train,692,tile_015440,tile_027236,-82432.0,2522624.0,208384.0,2761728.0,101,1348,ok
train,729,tile_009508,tile_007097,-214528.0,2323456.0,492032.0,4315148.296,240,2107,ok
train,741,tile_010519,tile_002334,-20480.0,2443776.0,495616.0,4435968.0,242,2166,ok
train,742,tile_009893,tile_003486,-103936.0,2397184.0,914944.0,3415552.0,446,1667,ok
train,767,tile_009887,tile_013093,-222208.0,2396160.0,108544.0,2507264.0,53,1224,ok
train,794,tile_010545,tile_012416,-3584.0,2446848.0,64512.0,2501632.0,31,1221,ok
train,800,tile_012415,tile_025224,-109568.0,2501632.0,468480.0,2598912.0,228,1269,ok
train,808,tile_010539,tile_007491,-42953.534,2445832.551,556032.0,4323328.0,271,2111,ok
train,812,tile_009468,tile_027057,-228864.0,2303488.0,413184.0,2708992.0,201,1322,ok
train,825,tile_009579,tile_012821,-223744.0,2332160.0,110592.0,2505216.0,54,1223,ok
train,837,tile_010458,tile_018016,-139776.0,2436117.229,209408.0,2542080.0,102,1241,ok
train,868,tile_010560,tile_011596,-20992.0,2448384.0,195072.0,2493952.0,95,1217,ok
train,875,tile_009869,tile_010942,-81408.0,2392615.782,65024.0,2469376.0,31,1205,ok
train,876,tile_009632,tile_004105,-224699.839,2347008.0,895489.596,3440640.0,437,1680,ok
train,927,tile_009874,tile_006780,-227328.0,2394112.0,492032.0,4302336.0,240,2100,ok
train,932,tile_009927,tile_002554,-131584.0,2404352.0,491008.0,4440576.0,239,2168,ok
train,935,tile_009491,tile_000191,-223744.0,2319938.661,453120.0,4384862.39,221,2141,ok
train,945,tile_010230,tile_003457,-141312.0,2426382.824,915456.0,3412480.0,447,1666,ok
train,954,tile_009470,tile_000425,-252928.0,2304000.0,426496.0,4398122.539,208,2147,ok
train,962,tile_010159,tile_007540,-20992.0,2423808.0,519168.0,4324352.0,253,2111,ok
train,998,tile_010447,tile_011765,-151040.0,2435592.826,190464.0,2495488.0,93,1218,ok
train,999,tile_009592,tile_015816,-216576.0,2334383.132,159232.0,2524672.0,77,1232,ok
train,1025,tile_011176,tile_012473,-75776.0,2484224.0,116736.0,2502144.0,57,1221,ok
train,1031,tile_009452,tile_000028,-222720.0,2290176.0,391243.911,4377088.0,191,2137,ok
train,1037,tile_009889,tile_002945,-82944.0,2396160.0,465408.0,4450304.0,227,2173,ok
train,1078,tile_015873,tile_009271,-56832.0,2525184.0,531488.445,4420608.0,259,2158,ok
train,1114,tile_009458,tile_013832,-191488.0,2295296.0,198144.0,2512406.271,96,1226,ok
train,1159,tile_009646,tile_026108,-193024.0,2351616.0,99840.0,2617856.0,48,1278,ok
train,1163,tile_012868,tile_018719,-9216.0,2505728.0,122880.0,2546688.0,60,1243,ok
train,1169,tile_009423,tile_012930,-231936.0,2258944.0,211456.0,2505728.0,103,1223,ok
train,1175,tile_010361,tile_007906,-103424.0,2430464.0,525312.0,4329984.0,256,2114,ok
train,1183,tile_010143,tile_026628,-142336.0,2423296.0,397312.0,2657792.0,194,1297,ok
train,1185,tile_010404,tile_023387,-101773.393,2432000.0,154624.0,2580480.0,75,1260,ok
train,1198,tile_010431,tile_023134,-9728.0,2433536.0,89088.0,2577920.0,43,1258,ok
train,1205,tile_009518,tile_003103,-221696.0,2326016.0,463872.0,4459520.0,226,2177,ok
train,1224,tile_009861,tile_002634,-242688.0,2392064.0,433152.0,4442624.0,211,2169,ok
train,1230,tile_009867,tile_007032,-99328.0,2392576.0,542208.0,4313088.0,264,2106,ok
train,1237,tile_009701,tile_025524,-251392.0,2369536.0,88590.376,2602496.0,43,1270,ok
train,1256,tile_010127,tile_007065,-12800.0,2421248.317,491520.0,4314112.0,240,2106,ok
train,1268,tile_009424,tile_018812,-238592.0,2259456.0,231424.0,2547200.0,113,1243,ok
train,1271,tile_016451,tile_016563,-55808.0,2529280.0,44544.0,2530304.0,21,1235,ok
train,1296,tile_010092,tile_008676,-143292.647,2417188.518,517632.0,4355072.0,252,2126,ok
train,1297,tile_009584,tile_020475,-252416.0,2333184.0,80896.0,2558509.256,39,1249,ok
train,1298,tile_018755,tile_003864,-7680.0,2547200.0,902144.0,3433984.0,440,1676,ok
train,1300,tile_009895,tile_011012,-244224.0,2397696.0,123904.0,2473472.0,60,1207,ok
train,1302,tile_009651,tile_026245,-187904.0,2355712.0,378880.0,2624512.0,185,1281,ok
train,1312,tile_009487,tile_002030,-200666.297,2318379.841,435200.0,4428800.0,212,2162,ok
train,1314,tile_010062,tile_026024,-159232.0,2409984.0,370176.0,2614272.0,180,1276,ok
train,1317,tile_012177,tile_008867,-23040.0,2499584.0,492544.0,4368384.0,240,2133,ok
train,1351,tile_010080,tile_024172,-194560.0,2414592.0,102912.0,2588160.0,50,1263,ok
train,1359,tile_009522,tile_023259,-261632.0,2326528.0,361472.0,2578944.0,176,1259,ok
train,1370,tile_009665,tile_027022,-211456.0,2360832.0,380928.0,2697728.0,186,1317,ok
train,1402,tile_009534,tile_023256,-233984.0,2327040.0,154112.0,2578944.0,75,1259,ok
train,1440,tile_009445,tile_010225,-249856.0,2286080.0,35328.0,2425856.0,17,1184,ok
train,1442,tile_023632,tile_000704,-55281.189,2583552.0,483840.0,4407296.0,236,2152,ok
train,1443,tile_012560,tile_003254,-13824.0,2503168.0,477186.719,4470272.0,233,2182,ok
train,1485,tile_010274,tile_019968,-19968.0,2427392.0,165888.0,2554880.0,81,1247,ok
train,1498,tile_009512,tile_010116,-212992.0,2323968.0,45056.0,2419712.0,22,1181,ok
train,1499,tile_016456,tile_014386,-8192.0,2529292.238,179712.0,2515968.0,87,1228,ok
train,1503,tile_009422,tile_000513,-214016.0,2252840.035,455175.32,4401664.0,222,2149,ok
train,1504,tile_016455,tile_008843,-44544.0,2529280.0,503808.0,4365831.336,246,2131,ok
train,1512,tile_009943,tile_016776,-138752.0,2405906.081,315392.0,2532352.0,154,1236,ok
train,1516,tile_010019,tile_008829,-234496.0,2408448.0,499712.0,4364288.0,244,2131,ok
train,1527,tile_009716,tile_002545,-143360.0,2379264.0,452608.0,4440576.0,221,2168,ok
train,1529,tile_009767,tile_017506,-146432.0,2382848.0,126464.0,2538496.0,61,1239,ok
train,1536,tile_009596,tile_004434,-199671.653,2335451.206,924160.0,3450880.0,451,1685,ok
train,1541,tile_010480,tile_026180,-6144.0,2437120.0,368128.0,2620928.0,179,1279,ok
train,1549,tile_010803,tile_005309,-39936.0,2462208.0,920576.0,3464704.0,449,1691,ok
train,1556,tile_010248,tile_002953,-15872.0,2426368.0,435217.7,4450816.0,212,2173,ok
train,1562,tile_009548,tile_020554,-219136.0,2327552.0,187904.0,2558464.0,91,1249,ok
train,1588,tile_009667,tile_015471,-185344.0,2361344.0,166912.0,2522624.0,81,1231,ok
train,1599,tile_009846,tile_024976,-226816.0,2390587.913,344064.0,2596352.0,168,1267,ok
train,1604,tile_010996,tile_024721,-150528.0,2472960.0,471552.0,2593280.0,230,1266,ok
train,1625,tile_010074,tile_015229,-144384.0,2411008.0,126464.0,2521088.0,61,1231,ok
train,1640,tile_009791,tile_007232,-143360.0,2384384.0,551936.0,4318720.0,269,2108,ok
train,1653,tile_009903,tile_010505,-124416.0,2399236.237,124416.0,2441728.0,60,1192,ok
train,1654,tile_009756,tile_022099,-143360.0,2382336.0,75264.0,2568704.0,36,1254,ok
train,1668,tile_009606,tile_000077,-260608.0,2339840.0,409600.0,4380160.0,200,2138,ok
train,1669,tile_009691,tile_023683,-197120.0,2367488.0,75776.0,2584064.0,37,1261,ok
train,1675,tile_010484,tile_022651,-136704.0,2437632.0,439296.0,2572800.0,214,1256,ok
train,1680,tile_009615,tile_012044,-209892.928,2341911.311,130048.0,2498048.0,63,1219,ok
train,1685,tile_010334,tile_005418,-32256.0,2429440.0,892928.0,3466240.0,436,1692,ok
train,1687,tile_009484,tile_026184,-215552.0,2317824.0,113152.0,2621440.0,55,1280,ok
train,1688,tile_009999,tile_017959,-33792.0,2407424.0,89088.0,2542080.0,43,1241,ok
train,1700,tile_010103,tile_011324,-39424.0,2418194.688,181760.0,2489856.0,88,1215,ok
train,1712,tile_012030,tile_022809,-140288.0,2498048.0,112148.248,2574848.0,54,1257,ok
train,1717,tile_009822,tile_024529,-126976.0,2388480.0,117760.0,2591744.0,57,1265,ok
train,1733,tile_009536,tile_022104,-221696.0,2327040.0,87552.0,2568704.0,42,1254,ok
train,1747,tile_009941,tile_024325,-164352.0,2405888.0,101376.0,2589696.0,49,1264,ok
train,1756,tile_026575,tile_002753,-20480.0,2650624.0,440320.0,4445184.0,215,2170,ok
train,1786,tile_009795,tile_008928,-145920.0,2384896.0,508928.0,4372480.0,248,2135,ok
train,1803,tile_009475,tile_015382,-197120.0,2309632.0,124416.0,2522112.0,60,1231,ok
train,1810,tile_009604,tile_008603,-177664.0,2339328.0,501248.0,4350464.0,244,2124,ok
train,1814,tile_009852,tile_002878,-102400.0,2391040.0,448037.848,4448768.0,218,2172,ok
train,1834,tile_009708,tile_002221,-139264.0,2378240.0,501760.0,4433408.0,245,2164,ok
train,1837,tile_009981,tile_024886,-241152.0,2407424.0,135168.0,2595328.0,66,1267,ok
train,1842,tile_009426,tile_026374,-237568.0,2259456.0,352352.26,2629120.0,172,1283,ok
train,1846,tile_010374,tile_022085,-103424.0,2430976.0,157184.0,2568192.0,76,1254,ok
train,1847,tile_009481,tile_004760,-255488.0,2313216.0,897536.0,3457024.0,438,1688,ok
train,1848,tile_009997,tile_021623,-72192.0,2407465.204,136192.0,2564608.0,66,1252,ok
train,1863,tile_009524,tile_017428,-226816.0,2326528.0,191488.0,2537984.0,93,1239,ok
train,1873,tile_010875,tile_015361,-140800.0,2465817.191,102912.0,2522112.0,50,1231,ok
train,1887,tile_010547,tile_000405,-137728.0,2447360.0,486912.0,4396544.0,237,2146,ok
train,1891,tile_017818,tile_002843,-12288.0,2541056.0,440320.0,4447744.961,215,2171,ok
train,1903,tile_010423,tile_006698,-10752.0,2433024.0,546315.061,4297216.0,266,2098,ok
train,1907,tile_009490,tile_000377,-214446.171,2319360.0,484352.0,4395008.0,236,2146,ok
train,1923,tile_010077,tile_026734,-157696.0,2412032.0,172032.0,2673152.0,84,1305,ok
train,1925,tile_009905,tile_008668,-75776.0,2399384.61,489090.951,4354560.0,238,2126,ok
train,1927,tile_022459,tile_006396,-49534.698,2571776.0,926720.0,3481088.0,452,1699,ok
train,1931,tile_009446,tile_004172,-182272.0,2288640.0,948224.0,3442176.0,463,1680,ok
train,1948,tile_014169,tile_011982,-23552.0,2514944.0,110080.0,2497536.0,53,1219,ok
train,1953,tile_009624,tile_001848,-208384.0,2344960.0,473088.0,4424704.0,231,2160,ok
train,1956,tile_026094,tile_002484,-7658.175,2617344.0,490005.311,4439040.0,239,2167,ok
train,1967,tile_009437,tile_003083,-184320.0,2267648.0,468992.0,4457472.0,229,2176,ok
train,1971,tile_009760,tile_004477,-92160.0,2382336.0,921088.0,3451904.0,449,1685,ok
train,1973,tile_010109,tile_008523,-98816.0,2419712.0,502272.0,4346880.0,245,2122,ok
train,1991,tile_017879,tile_003388,-10752.0,2541568.0,497664.0,4490240.0,243,2192,ok
train,2034,tile_009690,tile_006942,-211456.0,2367488.0,496128.0,4310016.0,242,2104,ok
train,2042,tile_025798,tile_003321,-37376.0,2608640.0,413184.0,4477440.0,201,2186,ok
train,2050,tile_009712,tile_008905,-151040.0,2378752.0,502272.0,4370944.0,245,2134,ok
train,2075,tile_010474,tile_011688,-5120.0,2436608.0,182272.0,2494976.0,89,1218,ok
train,2076,tile_009642,tile_026592,-227840.0,2349056.0,352256.0,2651648.0,172,1294,ok
train,2086,tile_018826,tile_008009,-31744.0,2547712.0,535040.0,4331520.0,261,2115,ok
train,2093,tile_009684,tile_026619,-212480.0,2366976.0,12288.0,2654720.0,6,1296,ok
train,2100,tile_010132,tile_008690,-19456.0,2421760.0,520704.0,4356096.0,254,2127,ok
train,2103,tile_009549,tile_018031,-176128.0,2327552.0,357888.0,2542080.0,174,1241,ok
train,2111,tile_010280,tile_011803,-32724.857,2427904.0,118784.0,2496000.0,58,1218,ok
train,2113,tile_009763,tile_026465,-153070.109,2382848.0,270336.0,2632704.0,132,1285,ok
train,2118,tile_009636,tile_008151,-222703.373,2348032.0,512512.0,4335104.0,250,2116,ok
train,2148,tile_026412,tile_017863,-4568.352,2630656.0,204288.0,2541056.0,99,1240,ok
train,2152,tile_010327,tile_017608,-15360.0,2428928.0,324608.0,2539008.0,158,1239,ok
train,2172,tile_009894,tile_005917,-60928.0,2397184.0,931840.0,3471360.0,455,1695,ok
train,2183,tile_009715,tile_001090,-145408.0,2379305.539,433664.0,4414976.0,211,2155,ok
train,2189,tile_010543,tile_008390,-150528.0,2446336.0,519168.0,4342272.0,253,2120,ok
train,2191,tile_009507,tile_023325,-217088.0,2323456.0,98816.0,2580061.124,48,1259,ok
train,2208,tile_010107,tile_026114,-17355.897,2419200.0,460800.0,2617856.0,225,1278,ok
train,2230,tile_010017,tile_017228,-36352.0,2407936.0,94208.0,2536960.0,46,1238,ok
train,2248,tile_009485,tile_017766,-221696.0,2318336.0,81408.0,2540544.0,39,1240,ok
train,2269,tile_010492,tile_009209,-110080.0,2439254.37,546816.0,4399104.0,267,2148,ok
train,2271,tile_009717,tile_027289,-139776.0,2379264.0,161792.0,2780199.171,79,1357,ok
train,2285,tile_010387,tile_027024,-147968.0,2431488.0,108544.0,2698752.0,53,1317,ok
train,2289,tile_010703,tile_019186,-36864.0,2459682.317,226304.0,2549760.0,110,1245,ok
train,2295,tile_010594,tile_003087,-53248.0,2451968.0,492544.0,4457987.337,240,2176,ok
train,2296,tile_011174,tile_019575,-118211.479,2484224.0,196096.0,2552320.0,95,1246,ok
train,2317,tile_009764,tile_010637,-148480.0,2382848.0,104448.0,2456064.0,51,1199,ok
train,2319,tile_009673,tile_000157,-240128.0,2363392.0,430080.0,4383744.0,210,2140,ok
train,2338,tile_009463,tile_008980,-234496.0,2300928.0,516096.0,4375040.0,252,2136,ok
train,2339,tile_010585,tile_016392,-141743.506,2450944.0,393879.299,2528316.935,192,1234,ok
train,2348,tile_009623,tile_025429,-259069.589,2344960.0,473623.597,2600960.0,231,1270,ok
train,2368,tile_009670,tile_022023,-249856.0,2362880.0,165376.0,2567680.604,80,1253,ok
train,2391,tile_009575,tile_002359,-259584.0,2331648.0,434688.0,4436992.0,212,2166,ok
train,2406,tile_009621,tile_020373,-190464.0,2343936.0,170496.0,2557440.0,83,1248,ok
train,2407,tile_010083,tile_002325,-85504.0,2415140.379,458259.367,4435968.0,223,2166,ok
train,2434,tile_026443,tile_004627,-3072.0,2631680.0,920064.0,3454976.0,449,1687,ok
train,2437,tile_010079,tile_000335,-120320.0,2414080.0,413696.0,4392960.0,202,2145,ok
train,2445,tile_010418,tile_025410,-10240.0,2432512.0,434176.0,2600960.0,212,1270,ok
train,2456,tile_010061,tile_000605,-209408.0,2409984.0,490496.0,4404736.0,239,2150,ok
train,2464,tile_015279,tile_009053,-11776.0,2521600.0,495616.0,4379648.0,242,2138,ok
train,2466,tile_026969,tile_025354,-4608.0,2690560.0,114688.0,2600448.343,56,1269,ok
train,2476,tile_024447,tile_026889,-55808.0,2591232.0,134656.0,2686976.0,65,1312,ok
train,2480,tile_009964,tile_007217,-130560.0,2406400.0,519189.341,4318720.646,253,2108,ok
train,2483,tile_009436,tile_005706,-201728.0,2267333.496,916992.0,3469312.0,447,1694,ok
train,2491,tile_009676,tile_008584,-189952.0,2363904.0,491008.0,4349440.0,239,2123,ok
train,2495,tile_009643,tile_023427,-206848.0,2350592.0,125952.0,2580992.0,61,1260,ok
train,2497,tile_016321,tile_012952,-59904.0,2528256.0,98304.0,2506240.0,48,1223,ok
train,2502,tile_010002,tile_009105,-234496.0,2407936.0,502276.223,4382720.0,245,2140,ok
train,2507,tile_016252,tile_009157,-57856.0,2527744.0,500224.0,4387840.0,244,2142,ok
train,2519,tile_009850,tile_014699,-66048.0,2390577.54,219648.0,2517504.0,107,1229,ok
train,2527,tile_018114,tile_026515,-9728.0,2543104.0,351232.0,2642944.0,171,1290,ok
train,2530,tile_020784,tile_025916,-12800.0,2560000.0,515584.0,2611200.0,251,1275,ok
train,2537,tile_010453,tile_000668,-135168.0,2435584.0,432128.0,4406784.0,211,2151,ok
train,2552,tile_018690,tile_019444,-3072.0,2546688.0,97792.0,2551808.0,47,1246,ok
val,6,tile_009439,tile_011797,-184832.0,2271744.0,97280.0,2496000.0,47,1218,ok
val,25,tile_009510,tile_003324,-260096.0,2323968.0,487424.0,4477993.751,238,2186,ok
val,27,tile_015352,tile_006416,-81408.0,2522116.057,925696.0,3482112.0,452,1700,ok
val,50,tile_010428,tile_006721,-136704.0,2433536.0,485888.0,4299264.0,237,2099,ok
val,52,tile_009855,tile_004953,-77824.0,2391044.462,910336.0,3460096.0,444,1689,ok
val,100,tile_018374,tile_022277,-8704.0,2544640.0,86030.398,2570240.0,42,1255,ok
val,105,tile_010087,tile_000224,-224256.0,2416128.0,412672.0,4386816.0,201,2142,ok
val,107,tile_010033,tile_005248,-129536.0,2408448.0,919040.0,3464192.0,448,1691,ok
val,117,tile_009456,tile_005750,-189440.0,2294272.0,900608.0,3469824.0,439,1694,ok
val,166,tile_010604,tile_006299,-95232.0,2452992.0,914944.0,3479040.0,446,1698,ok
val,198,tile_009705,tile_013741,-212992.0,2377216.0,190464.0,2511872.0,93,1226,ok
val,203,tile_022037,tile_007124,-32256.0,2568215.244,550400.0,4315648.0,268,2107,ok
val,206,tile_009952,tile_024221,-164352.0,2406400.0,58880.0,2588672.0,28,1264,ok
val,207,tile_010315,tile_026084,-14848.0,2428516.349,103424.612,2616849.695,50,1277,ok
val,224,tile_009664,tile_017439,-216576.0,2360868.259,233984.0,2538016.543,114,1239,ok
val,242,tile_010377,tile_015309,-16384.0,2430976.0,160768.0,2521600.0,78,1231,ok
val,243,tile_009533,tile_000117,-214016.0,2326528.0,397312.0,4382208.0,194,2139,ok
val,253,tile_018455,tile_027038,-41984.0,2545152.0,434176.0,2701322.242,212,1319,ok
val,254,tile_009478,tile_005152,-204800.0,2310678.999,906752.0,3463169.695,442,1691,ok
val,261,tile_009696,tile_004621,-250880.0,2368644.126,911360.0,3454976.0,445,1687,ok
val,268,tile_010725,tile_022248,-100863.843,2460679.511,151552.0,2569728.0,74,1254,ok
val,271,tile_016257,tile_005887,-32256.0,2527744.0,899584.0,3471360.0,439,1695,ok
val,273,tile_017463,tile_002572,-12288.0,2538496.0,479232.0,4441088.0,234,2168,ok
val,280,tile_009459,tile_021970,-189952.0,2297861.668,153088.0,2567168.0,74,1253,ok
val,286,tile_009971,tile_018556,-160768.0,2406912.0,86016.0,2545664.0,42,1243,ok
val,293,tile_009601,tile_013218,-175104.0,2337792.0,73216.0,2508297.458,35,1224,ok
val,313,tile_009578,tile_014152,-223232.0,2331648.0,217600.0,2514432.0,106,1227,ok
test,0,tile_009433,tile_000480,-233472.0,2264064.0,480256.0,4400128.0,234,2148,ok
test,4,tile_010325,tile_012617,-19968.0,2428928.0,232448.0,2503187.128,113,1222,ok
test,14,tile_010514,tile_005070,-151040.0,2443264.0,932864.0,3461632.0,455,1690,ok
test,17,tile_010078,tile_026919,-209920.0,2413568.0,132181.805,2688000.0,64,1312,ok
test,40,tile_009626,tile_017733,-225750.741,2345472.0,154624.0,2540032.0,75,1240,ok
test,50,tile_009901,tile_005972,-139264.0,2399232.0,903680.0,3472384.0,441,1695,ok
test,53,tile_010068,tile_000865,-159232.0,2410496.0,440320.0,4410880.0,215,2153,ok
test,76,tile_010600,tile_019509,-142336.0,2452480.0,77312.0,2552396.684,37,1246,ok
test,87,tile_010593,tile_007478,-53754.87,2451968.0,562688.0,4322816.0,274,2110,ok
test,94,tile_009967,tile_011015,-126976.0,2406400.0,29696.0,2473984.0,14,1208,ok
test,96,tile_010048,tile_012266,-129024.0,2408960.0,132608.0,2500096.0,64,1220,ok
test,128,tile_009841,tile_018679,-92672.0,2390016.0,421458.581,2546176.0,205,1243,ok
test,131,tile_013215,tile_000196,-12800.0,2508288.0,413184.0,4385280.0,201,2141,ok
test,135,tile_009515,tile_019814,-171995.917,2324480.0,349696.0,2553856.0,170,1247,ok
test,147,tile_009704,tile_015516,-199168.0,2375168.0,378368.0,2522661.665,184,1231,ok
test,157,tile_009516,tile_002176,-218624.0,2324992.0,471113.139,4432384.0,230,2164,ok
test,159,tile_009848,tile_010535,-107520.0,2390528.0,115712.0,2445312.0,56,1194,ok
test,187,tile_009931,tile_002876,-134144.0,2404864.0,438272.0,4448768.0,214,2172,ok
test,189,tile_010805,tile_015220,-38912.0,2462208.0,120866.949,2521088.0,59,1231,ok
test,215,tile_026560,tile_019498,-5120.0,2648576.0,196608.0,2551808.0,96,1246,ok
test,233,tile_009593,tile_026373,-177664.0,2334208.0,342055.601,2629120.0,167,1283,ok
test,236,tile_010319,tile_020822,-124928.0,2428928.0,101888.0,2560000.0,49,1250,ok
test,312,tile_010444,tile_025261,-8704.0,2435072.0,237056.0,2599424.0,115,1269,ok
