"TIME","LATITUDE","LONGITUDE","TYPE","NR-TAC","NR-PCI","NR-CI","NR-ARFCN","CSI-RSRP","CSI-RSRQ","CSI-SINR","SS-RSRP","SS-RSRQ","SS-SINR","TAC","PCI","ECI","EARFCN","BAND_WIDTH","RSSI","RSRP","RSRQ","SINR","CQI","LAC","CI","RXLEV","ARFCN","BSIC","PSC","UARFCN","NID","BID","SID","CDMADBM","CDMAECIO","EVDODBM","EVDOECIO","EVDOSNR"
"20260831 22:45:11.090","39.947058","116.334395","LTE","","","","","","","","","","","4140","58","228259068","1350","","-55","-87","-10","1.6","","","","","","","","","","","","","","","",""
"20260831 22:45:12.144","39.947058","116.334395","LTE","","","","","","","","","","","4140","58","228259068","1350","","-55","-87","-10","1.6","","","","","","","","","","","","","","","",""
"20260831 22:45:13.193","39.948111","116.333322","LTE","","","","","","","","","","","4140","58","228259068","1350","","-55","-87","-10","1.6","","","","","","","","","","","","","","","",""
"20260831 22:45:14.247","39.948096","116.333357","LTE","","","","","","","","","","","4140","58","228259068","1350","","-55","-85","-9","1.6","","","","","","","","","","","","","","","",""
"20260831 22:45:15.287","39.948063","116.33334","LTE","","","","","","","","","","","4140","58","228259068","1350","","-55","-85","-9","1.6","","","","","","","","","","","","","","","",""
"20260831 22:45:16.331","39.948055","116.333315","LTE","","","","","","","","","","","4140","58","228259068","1350","","-53","-86","-10","1.6","","","","","","","","","","","","","","","",""
"20260831 22:45:17.421","39.948122","116.33336","LTE","","","","","","","","","","","4140","58","228259068","1350","","-53","-86","-10","1.6","","","","","","","","","","","","","","","",""
"20260831 22:45:18.476","39.94811","116.333345","LTE","","","","","","","","","","","4140","58","228259068","1350","","-53","-85","-9","1.6","","","","","","","","","","","","","","","",""
"20260831 22:45:19.522","39.948082","116.333352","LTE","","","","","","","","","","","4140","58","228259068","1350","","-57","-89","-11","7.0","","","","","","","","","","","","","","","",""
"20260831 22:45:20.584","39.948054","116.333361","LTE","","","","","","","","","","","4140","58","228259068","1350","","-57","-88","-9","7.0","","","","","","","","","","","","","","","",""
"20260831 22:45:21.638","39.948086","116.333349","LTE","","","","","","","","","","","4140","58","228259068","1350","","-57","-88","-9","7.0","","","","","","","","","","","","","","","",""
"20260831 22:45:22.692","39.948079","116.333352","LTE","","","","","","","","","","","4140","58","228259068","1350","","-55","-87","-9","7.0","","","","","","","","","","","","","","","",""
"20260831 22:45:23.739","39.948071","116.333353","LTE","","","","","","","","","","","4140","58","228259068","1350","","-57","-88","-10","1.4","","","","","","","","","","","","","","","",""
"20260831 22:45:24.814","39.948071","116.333352","LTE","","","","","","","","","","","4140","58","228259068","1350","","-55","-87","-10","1.4","","","","","","","","","","","","","","","",""
"20260831 22:45:25.906","39.94807","116.333354","LTE","","","","","","","","","","","4140","58","228259068","1350","","-55","-87","-10","1.4","","","","","","","","","","","","","","","",""
"20260831 22:45:26.977","39.948075","116.333352","LTE","","","","","","","","","","","4140","58","228259068","1350","","-55","-86","-10","1.4","","","","","","","","","","","","","","","",""
"20260831 22:45:29.209","39.948075","116.333352","LTE","","","","","","","","","","","4140","58","228259068","1350","","-55","-86","-10","1.4","","","","","","","","","","","","","","","",""
"20260831 22:45:30.232","39.948082","116.333351","LTE","","","","","","","","","","","4140","58","228259068","1350","","-55","-87","-10","1.4","","","","","","","","","","","","","","","",""
"20260831 22:45:31.253","39.948085","116.333351","LTE","","","","","","","","","","","4140","58","228259068","1350","","-55","-87","-10","1.4","","","","","","","","","","","","","","","",""
"20260831 22:45:32.300","39.948087","116.333351","LTE","","","","","","","","","","","4140","58","228259068","1350","","-55","-87","-10","1.4","","","","","","","","","","","","","","","",""
"20260831 22:45:33.348","39.948097","116.333347","LTE","","","","","","","","","","","4140","58","228259068","1350","","-53","-86","-11","2.2","","","","","","","","","","","","","","","",""
"20260831 22:45:34.389","39.948097","116.333346","LTE","","","","","","","","","","","4140","58","228259068","1350","","-53","-86","-11","2.2","","","","","","","","","","","","","","","",""
"20260831 22:45:35.441","39.948107","116.333342","LTE","","","","","","","","","","","4140","58","228259068","1350","","-53","-85","-10","4.0","","","","","","","","","","","","","","","",""
"20260831 22:45:37.179","39.948115","116.333339","LTE","","","","","","","","","","","4140","58","228259068","1350","","-53","-85","-10","4.0","","","","","","","","","","","","","","","",""
"20260831 22:45:38.964","39.948117","116.333338","LTE","","","","","","","","","","","4140","58","228259068","1350","","-55","-87","-11","9.6","","","","","","","","","","","","","","","",""
"20260831 22:45:40.010","39.948115","116.333338","LTE","","","","","","","","","","","4140","58","228259068","1350","","-55","-87","-11","9.6","","","","","","","","","","","","","","","",""
"20260831 22:45:41.061","39.948115","116.333338","LTE","","","","","","","","","","","4140","58","228259068","1350","","-57","-90","-12","9.6","","","","","","","","","","","","","","","",""
"20260831 22:45:42.114","39.948115","116.333338","LTE","","","","","","","","","","","4140","58","228259068","1350","","-57","-91","-13","2.8","","","","","","","","","","","","","","","",""
"20260831 22:45:43.135","39.948117","116.333338","LTE","","","","","","","","","","","4140","58","228259068","1350","","-55","-88","-12","2.8","","","","","","","","","","","","","","","",""
"20260831 22:45:44.234","39.948117","116.333338","LTE","","","","","","","","","","","4140","58","228259068","1350","","-55","-89","-13","7.8","","","","","","","","","","","","","","","",""
"20260831 22:45:45.718","39.948116","116.333338","LTE","","","","","","","","","","","4140","58","228259068","1350","","-55","-88","-12","7.8","","","","","","","","","","","","","","","",""
"20260831 22:45:46.768","39.948115","116.333338","LTE","","","","","","","","","","","4140","58","228259068","1350","","-55","-88","-12","7.8","","","","","","","","","","","","","","","",""
"20260831 22:45:47.851","39.948088","116.333336","LTE","","","","","","","","","","","4140","58","228259068","1350","","-55","-88","-12","7.8","","","","","","","","","","","","","","","",""
"20260831 22:45:48.910","39.948057","116.333333","LTE","","","","","","","","","","","4140","58","228259068","1350","","-55","-88","-12","7.8","","","","","","","","","","","","","","","",""
"20260831 22:45:49.969","39.947995","116.333328","LTE","","","","","","","","","","","4140","58","228259068","1350","","-55","-88","-11","7.8","","","","","","","","","","","","","","","",""
"20260831 22:45:51.017","39.947976","116.333327","LTE","","","","","","","","","","","4140","58","228259068","1350","","-55","-88","-11","7.8","","","","","","","","","","","","","","","",""
"20260831 22:45:52.059","39.94795","116.333325","LTE","","","","","","","","","","","4140","58","228259068","1350","","-51","-85","-11","7.8","","","","","","","","","","","","","","","",""
"20260831 22:45:53.099","39.947962","116.333326","LTE","","","","","","","","","","","4140","58","228259068","1350","","-55","-86","-10","7.6","","","","","","","","","","","","","","","",""
"20260831 22:45:54.149","39.947961","116.333326","LTE","","","","","","","","","","","4140","58","228259068","1350","","-57","-91","-10","7.6","","","","","","","","","","","","","","","",""
"20260831 22:45:55.199","39.947955","116.333326","LTE","","","","","","","","","","","4140","58","228259068","1350","","-57","-91","-10","7.6","","","","","","","","","","","","","","","",""
"20260831 22:45:56.490","39.947944","116.333325","LTE","","","","","","","","","","","4140","58","228259068","1350","","-57","-91","-10","7.6","","","","","","","","","","","","","","","",""
"20260831 22:45:57.674","39.94794","116.333325","LTE","","","","","","","","","","","4140","58","228259068","1350","","-57","-91","-10","7.6","","","","","","","","","","","","","","","",""
"20260831 22:45:58.742","39.947935","116.333324","LTE","","","","","","","","","","","4140","58","228259068","1350","","-57","-92","-10","7.6","","","","","","","","","","","","","","","",""
"20260831 22:45:59.799","39.947934","116.333324","LTE","","","","","","","","","","","4140","58","228259068","1350","","-57","-92","-10","7.6","","","","","","","","","","","","","","","",""
"20260831 22:46:00.858","39.947933","116.333324","LTE","","","","","","","","","","","4140","58","228259068","1350","","-57","-92","-9","7.6","","","","","","","","","","","","","","","",""
"20260831 22:46:01.925","39.947933","116.333324","LTE","","","","","","","","","","","4140","58","228259068","1350","","-57","-92","-9","7.6","","","","","","","","","","","","","","","",""
"20260831 22:46:02.989","39.947931","116.333324","LTE","","","","","","","","","","","4140","58","228259068","1350","","-57","-91","-10","7.6","","","","","","","","","","","","","","","",""
"20260831 22:46:04.002","39.94793","116.333325","LTE","","","","","","","","","","","4140","58","228259068","1350","","-55","-88","-11","0.8","","","","","","","","","","","","","","","",""
"20260831 22:46:05.087","39.94793","116.333325","LTE","","","","","","","","","","","4140","58","228259068","1350","","-55","-87","-10","0.8","","","","","","","","","","","","","","","",""
"20260831 22:46:06.135","39.94793","116.333325","LTE","","","","","","","","","","","4140","58","228259068","1350","","-55","-87","-10","0.8","","","","","","","","","","","","","","","",""
"20260831 22:46:07.183","39.947929","116.333325","LTE","","","","","","","","","","","4140","58","228259068","1350","","-55","-87","-10","0.8","","","","","","","","","","","","","","","",""
"20260831 22:46:08.227","39.947929","116.333325","LTE","","","","","","","","","","","4140","58","228259068","1350","","-55","-87","-10","0.8","","","","","","","","","","","","","","","",""
"20260831 22:46:09.334","39.947928","116.333325","LTE","","","","","","","","","","","4140","58","228259068","1350","","-55","-88","-10","0.8","","","","","","","","","","","","","","","",""
"20260831 22:46:10.399","39.947928","116.333325","LTE","","","","","","","","","","","4140","58","228259068","1350","","-55","-88","-10","0.8","","","","","","","","","","","","","","","",""
"20260831 22:46:11.456","39.947928","116.333326","LTE","","","","","","","","","","","4140","58","228259068","1350","","-55","-88","-11","0.8","","","","","","","","","","","","","","","",""
"20260831 22:46:12.503","39.947927","116.333326","LTE","","","","","","","","","","","4140","58","228259068","1350","","-55","-88","-11","0.8","","","","","","","","","","","","","","","",""
"20260831 22:46:13.553","39.947927","116.333326","LTE","","","","","","","","","","","4140","58","228259068","1350","","-57","-94","-11","0.8","","","","","","","","","","","","","","","",""
"20260831 22:46:14.620","39.947926","116.333326","LTE","","","","","","","","","","","4140","58","228259068","1350","","-57","-94","-11","0.8","","","","","","","","","","","","","","","",""
"20260831 22:46:15.669","39.947926","116.333326","LTE","","","","","","","","","","","4140","58","228259068","1350","","-57","-94","-10","0.8","","","","","","","","","","","","","","","",""
"20260831 22:46:16.718","39.947926","116.333326","LTE","","","","","","","","","","","4140","58","228259068","1350","","-57","-94","-10","0.8","","","","","","","","","","","","","","","",""
"20260831 22:46:17.770","39.947926","116.333326","LTE","","","","","","","","","","","4140","58","228259068","1350","","-57","-94","-10","0.8","","","","","","","","","","","","","","","",""
"20260831 22:46:18.822","39.947925","116.333326","LTE","","","","","","","","","","","4140","58","228259068","1350","","-57","-94","-10","0.8","","","","","","","","","","","","","","","",""
"20260831 22:46:19.878","39.947925","116.333327","LTE","","","","","","","","","","","4140","58","228259068","1350","","-57","-90","-11","0.8","","","","","","","","","","","","","","","",""
"20260831 22:46:20.934","39.947925","116.333327","LTE","","","","","","","","","","","4140","58","228259068","1350","","-57","-90","-11","0.8","","","","","","","","","","","","","","","",""
"20260831 22:46:21.981","39.947923","116.333327","LTE","","","","","","","","","","","4140","58","228259068","1350","","-59","-92","-11","0.8","","","","","","","","","","","","","","","",""
"20260831 22:46:23.032","39.947922","116.333327","LTE","","","","","","","","","","","4140","58","228259068","1350","","-59","-92","-11","0.8","","","","","","","","","","","","","","","",""
"20260831 22:46:24.077","39.947922","116.333327","LTE","","","","","","","","","","","4140","58","228259068","1350","","-57","-88","-10","0.8","","","","","","","","","","","","","","","",""
"20260831 22:46:25.118","39.947922","116.333327","LTE","","","","","","","","","","","4140","58","228259068","1350","","-57","-88","-10","0.8","","","","","","","","","","","","","","","",""
"20260831 22:46:26.157","39.947922","116.333327","LTE","","","","","","","","","","","4140","58","228259068","1350","","-57","-88","-11","0.8","","","","","","","","","","","","","","","",""
"20260831 22:46:27.195","39.947922","116.333327","LTE","","","","","","","","","","","4140","58","228259068","1350","","-57","-88","-11","0.8","","","","","","","","","","","","","","","",""
"20260831 22:46:28.243","39.947921","116.333327","LTE","","","","","","","","","","","4140","58","228259068","1350","","-57","-88","-11","0.8","","","","","","","","","","","","","","","",""
"20260831 22:46:29.286","39.94792","116.333327","LTE","","","","","","","","","","","4140","58","228259068","1350","","-57","-88","-11","0.8","","","","","","","","","","","","","","","",""
"20260831 22:46:30.329","39.947919","116.333327","LTE","","","","","","","","","","","4140","58","228259068","1350","","-57","-88","-11","0.8","","","","","","","","","","","","","","","",""
"20260831 22:46:31.376","39.947919","116.333328","LTE","","","","","","","","","","","4140","58","228259068","1350","","-57","-88","-11","0.8","","","","","","","","","","","","","","","",""
"20260831 22:46:32.422","39.947918","116.333327","LTE","","","","","","","","","","","4140","58","228259068","1350","","-55","-88","-10","0.8","","","","","","","","","","","","","","","",""
"20260831 22:46:33.466","39.947918","116.333328","LTE","","","","","","","","","","","4140","58","228259068","1350","","-55","-88","-10","0.8","","","","","","","","","","","","","","","",""
"20260831 22:46:34.513","39.947917","116.333327","LTE","","","","","","","","","","","4140","58","228259068","1350","","-57","-88","-10","0.8","","","","","","","","","","","","","","","",""
"20260831 22:46:35.565","39.947917","116.333327","LTE","","","","","","","","","","","4140","58","228259068","1350","","-57","-88","-10","0.8","","","","","","","","","","","","","","","",""
"20260831 22:46:36.612","39.947916","116.333327","LTE","","","","","","","","","","","4140","58","228259068","1350","","-57","-88","-10","0.8","","","","","","","","","","","","","","","",""
"20260831 22:46:37.664","39.947916","116.333328","LTE","","","","","","","","","","","4140","58","228259068","1350","","-57","-88","-10","0.8","","","","","","","","","","","","","","","",""
"20260831 22:46:38.714","39.947916","116.333328","LTE","","","","","","","","","","","4140","58","228259068","1350","","-57","-88","-10","0.8","","","","","","","","","","","","","","","",""
"20260831 22:46:39.764","39.947916","116.333328","LTE","","","","","","","","","","","4140","58","228259068","1350","","-57","-88","-10","0.8","","","","","","","","","","","","","","","",""
"20260831 22:46:40.822","39.947916","116.333328","LTE","","","","","","","","","","","4140","58","228259068","1350","","-57","-88","-10","0.8","","","","","","","","","","","","","","","",""
"20260831 22:46:41.875","39.947915","116.333328","LTE","","","","","","","","","","","4140","58","228259068","1350","","-57","-88","-10","0.8","","","","","","","","","","","","","","","",""
"20260831 22:46:42.927","39.947915","116.333328","LTE","","","","","","","","","","","4140","58","228259068","1350","","-57","-88","-11","0.8","","","","","","","","","","","","","","","",""
"20260831 22:46:43.975","39.947915","116.333329","LTE","","","","","","","","","","","4140","58","228259068","1350","","-57","-88","-11","0.8","","","","","","","","","","","","","","","",""
"20260831 22:46:45.021","39.947914","116.333329","LTE","","","","","","","","","","","4140","58","228259068","1350","","-57","-88","-10","0.8","","","","","","","","","","","","","","","",""
"20260831 22:46:46.062","39.947914","116.333329","LTE","","","","","","","","","","","4140","58","228259068","1350","","-57","-88","-10","0.8","","","","","","","","","","","","","","","",""
"20260831 22:46:47.101","39.947914","116.333329","LTE","","","","","","","","","","","4140","58","228259068","1350","","-57","-88","-10","4.8","","","","","","","","","","","","","","","",""
"20260831 22:46:48.141","39.947914","116.333329","LTE","","","","","","","","","","","4140","58","228259068","1350","","-57","-88","-10","4.8","","","","","","","","","","","","","","","",""
"20260831 22:46:49.181","39.947915","116.333329","LTE","","","","","","","","","","","4140","58","228259068","1350","","-57","-88","-9","4.8","","","","","","","","","","","","","","","",""
"20260831 22:46:50.218","39.947915","116.33333","LTE","","","","","","","","","","","4140","58","228259068","1350","","-57","-88","-9","4.8","","","","","","","","","","","","","","","",""
"20260831 22:46:51.264","39.947915","116.33333","LTE","","","","","","","","","","","4140","58","228259068","1350","","-57","-88","-10","4.8","","","","","","","","","","","","","","","",""
"20260831 22:46:52.307","39.947915","116.33333","LTE","","","","","","","","","","","4140","58","228259068","1350","","-57","-88","-10","4.8","","","","","","","","","","","","","","","",""
"20260831 22:46:53.352","39.947915","116.33333","LTE","","","","","","","","","","","4140","58","228259068","1350","","-57","-88","-10","4.8","","","","","","","","","","","","","","","",""
"20260831 22:46:54.398","39.947915","116.33333","LTE","","","","","","","","","","","4140","58","228259068","1350","","-57","-88","-10","4.8","","","","","","","","","","","","","","","",""
"20260831 22:46:55.446","39.947915","116.33333","LTE","","","","","","","","","","","4140","58","228259068","1350","","-57","-88","-9","4.8","","","","","","","","","","","","","","","",""
"20260831 22:46:56.489","39.947915","116.33333","LTE","","","","","","","","","","","4140","58","228259068","1350","","-57","-88","-9","4.8","","","","","","","","","","","","","","","",""
"20260831 22:46:57.536","39.947915","116.33333","LTE","","","","","","","","","","","4140","58","228259068","1350","","-57","-88","-10","4.8","","","","","","","","","","","","","","","",""
"20260831 22:46:58.581","39.947916","116.33333","LTE","","","","","","","","","","","4140","58","228259068","1350","","-57","-88","-10","4.8","","","","","","","","","","","","","","","",""
"20260831 22:46:59.626","39.947916","116.33333","LTE","","","","","","","","","","","4140","58","228259068","1350","","-57","-87","-10","4.8","","","","","","","","","","","","","","","",""
"20260831 22:47:00.673","39.947916","116.333331","LTE","","","","","","","","","","","4140","58","228259068","1350","","-57","-87","-10","4.8","","","","","","","","","","","","","","","",""
"20260831 22:47:01.722","39.947916","116.333331","LTE","","","","","","","","","","","4140","58","228259068","1350","","-55","-87","-10","4.8","","","","","","","","","","","","","","","",""
"20260831 22:47:02.772","39.947916","116.333331","LTE","","","","","","","","","","","4140","58","228259068","1350","","-55","-87","-10","4.8","","","","","","","","","","","","","","","",""
"20260831 22:47:03.820","39.947916","116.333331","LTE","","","","","","","","","","","4140","58","228259068","1350","","-57","-87","-9","4.8","","","","","","","","","","","","","","","",""
"20260831 22:47:04.869","39.947916","116.333331","LTE","","","","","","","","","","","4140","58","228259068","1350","","-57","-87","-9","4.8","","","","","","","","","","","","","","","",""
"20260831 22:47:05.920","39.947916","116.333331","LTE","","","","","","","","","","","4140","58","228259068","1350","","-57","-88","-9","4.8","","","","","","","","","","","","","","","",""
"20260831 22:47:06.967","39.947916","116.333331","LTE","","","","","","","","","","","4140","58","228259068","1350","","-57","-88","-9","4.8","","","","","","","","","","","","","","","",""
"20260831 22:47:08.012","39.947916","116.333331","LTE","","","","","","","","","","","4140","58","228259068","1350","","-57","-88","-8","4.8","","","","","","","","","","","","","","","",""
"20260831 22:47:09.050","39.947916","116.333331","LTE","","","","","","","","","","","4140","58","228259068","1350","","-57","-88","-8","4.8","","","","","","","","","","","","","","","",""
"20260831 22:47:10.093","39.947916","116.333332","LTE","","","","","","","","","","","4140","58","228259068","1350","","-57","-88","-9","4.8","","","","","","","","","","","","","","","",""
"20260831 22:47:11.133","39.947916","116.333332","LTE","","","","","","","","","","","4140","58","228259068","1350","","-57","-88","-9","4.8","","","","","","","","","","","","","","","",""
"20260831 22:47:12.172","39.947916","116.333331","LTE","","","","","","","","","","","4140","58","228259068","1350","","-57","-88","-8","4.8","","","","","","","","","","","","","","","",""
"20260831 22:47:13.214","39.947916","116.333332","LTE","","","","","","","","","","","4140","58","228259068","1350","","-57","-88","-8","4.8","","","","","","","","","","","","","","","",""
"20260831 22:47:14.255","39.947916","116.333332","LTE","","","","","","","","","","","4140","58","228259068","1350","","-57","-88","-9","4.8","","","","","","","","","","","","","","","",""
"20260831 22:47:15.306","39.947916","116.333332","LTE","","","","","","","","","","","4140","58","228259068","1350","","-57","-88","-9","4.8","","","","","","","","","","","","","","","",""
"20260831 22:47:16.353","39.947916","116.333332","LTE","","","","","","","","","","","4140","58","228259068","1350","","-57","-87","-8","4.8","","","","","","","","","","","","","","","",""
"20260831 22:47:17.397","39.947916","116.333332","LTE","","","","","","","","","","","4140","58","228259068","1350","","-57","-87","-8","4.8","","","","","","","","","","","","","","","",""
"20260831 22:47:18.445","39.947916","116.333332","LTE","","","","","","","","","","","4140","58","228259068","1350","","-57","-88","-10","4.8","","","","","","","","","","","","","","","",""
"20260831 22:47:19.491","39.947916","116.333332","LTE","","","","","","","","","","","4140","58","228259068","1350","","-57","-88","-10","4.8","","","","","","","","","","","","","","","",""
"20260831 22:47:20.536","39.947916","116.333332","LTE","","","","","","","","","","","4140","58","228259068","1350","","-57","-88","-10","4.8","","","","","","","","","","","","","","","",""
"20260831 22:47:21.580","39.947916","116.333332","LTE","","","","","","","","","","","4140","58","228259068","1350","","-57","-88","-10","4.8","","","","","","","","","","","","","","","",""
"20260831 22:47:22.622","39.947916","116.333332","LTE","","","","","","","","","","","4140","58","228259068","1350","","-59","-95","-12","1.0","","","","","","","","","","","","","","","",""
"20260831 22:47:23.677","39.947916","116.333332","LTE","","","","","","","","","","","4140","58","228259068","1350","","-59","-95","-12","1.0","","","","","","","","","","","","","","","",""
"20260831 22:47:24.920","39.947916","116.333333","LTE","","","","","","","","","","","4140","58","228259068","1350","","-61","-93","-10","1.0","","","","","","","","","","","","","","","",""
"20260831 22:47:25.980","39.947916","116.333333","LTE","","","","","","","","","","","4140","58","228259068","1350","","-61","-93","-10","1.0","","","","","","","","","","","","","","","",""
"20260831 22:47:27.029","39.947916","116.333333","LTE","","","","","","","","","","","4140","58","228259068","1350","","-61","-93","-11","6.8","","","","","","","","","","","","","","","",""
"20260831 22:47:28.076","39.947916","116.333333","LTE","","","","","","","","","","","4140","58","228259068","1350","","-61","-93","-11","6.8","","","","","","","","","","","","","","","",""
"20260831 22:47:29.124","39.947916","116.333333","LTE","","","","","","","","","","","4140","58","228259068","1350","","-61","-94","-11","6.8","","","","","","","","","","","","","","","",""
"20260831 22:47:30.176","39.947915","116.333333","LTE","","","","","","","","","","","4140","58","228259068","1350","","-63","-95","-12","1.8","","","","","","","","","","","","","","","",""
"20260831 22:47:31.228","39.947915","116.333333","LTE","","","","","","","","","","","4140","58","228259068","1350","","-63","-93","-10","1.8","","","","","","","","","","","","","","","",""
"20260831 22:47:32.272","39.947915","116.333333","LTE","","","","","","","","","","","4140","58","228259068","1350","","-65","-94","-10","7.6","","","","","","","","","","","","","","","",""
"20260831 22:47:33.319","39.947915","116.333333","LTE","","","","","","","","","","","4140","58","228259068","1350","","-61","-91","-9","7.6","","","","","","","","","","","","","","","",""
"20260831 22:47:34.364","39.947915","116.333333","LTE","","","","","","","","","","","4140","58","228259068","1350","","-61","-91","-9","7.6","","","","","","","","","","","","","","","",""
"20260831 22:47:35.419","39.947915","116.333333","LTE","","","","","","","","","","","4140","58","228259068","1350","","-59","-91","-9","7.6","","","","","","","","","","","","","","","",""
"20260831 22:47:36.467","39.947915","116.333333","LTE","","","","","","","","","","","4140","58","228259068","1350","","-61","-92","-10","","","","","","","","","","","","","","","","",""
"20260831 22:47:37.514","39.947915","116.333333","LTE","","","","","","","","","","","4140","58","228259068","1350","","-61","-90","-9","","","","","","","","","","","","","","","","",""
"20260831 22:47:38.576","39.947915","116.333333","LTE","","","","","","","","","","","4140","58","228259068","1350","","-61","-90","-9","","","","","","","","","","","","","","","","",""
"20260831 22:47:39.634","39.947914","116.333333","LTE","","","","","","","","","","","4140","58","228259068","1350","","-61","-91","-9","","","","","","","","","","","","","","","","",""
"20260831 22:47:40.692","39.947914","116.333333","LTE","","","","","","","","","","","4140","58","228259068","1350","","-61","-91","-10","7.6","","","","","","","","","","","","","","","",""
"20260831 22:47:41.746","39.947914","116.333333","LTE","","","","","","","","","","","4140","58","228259068","1350","","-61","-91","-9","7.6","","","","","","","","","","","","","","","",""
